//this config file was auto-generated by Excel2lua tool do not modify it!
Id,OrderGroup,ConditionTrigger
10001,10000,10000
10002,10001;10002,
101001,10002,
101002,10003,
101101,10101,101101
101102,10102,101102
101103,10103,101103
101201,101201,
101211,101211;101201,
101221,101221;101201,
101301,102201,
101311,101311;102201,
101321,101321;102201,
101401,101401,
101501,101501,
101601,101402,102101;102103
101602,101403,102102
101612,101413;101403,102102
101622,101423;101403,102102
101701,101701,103101
101702,101702;101703,
101801,101801,
101901,101901,
102001,102001,
102101,102101;102102;102103,
102201,200601;200602,
102301,102201,
102401,102401,
102501,102501,
102601,102601,
102701,102701,
102801,102801,106102
102802,102802,106101
102901,102901,107101
102902,102902,107102
103001,103001,108101
103002,103002,108102
103101,103101,
103201,103201,
103301,103301,
103401,103401,
103501,103501,
2001,200101;200102,
2002,200201,
2003,200301,104101
2103,200302,104102
2203,200303,104103
2004,200401,105101
2104,200402,105102
2204,200404;200403,105103
2304,200403,105103
2005,200501,
1010000,1010000,
1010010,1010010,
1010020,1010020,1010020
1010021,1010021,1010021
1010030,1010030,
1010040,1010040,
1010050,1010050,
1010060,1010060,
1010070,1010070,
1010080,1010080,
1010090,1010090,
1010100,1010100,1010100
1010101,1010101,1010101
1010102,1010102,1010102
1010103,1010103,
1010104,1010104,
1010105,1010105,
1010106,1010106,
1010107,1010107,
1010108,1010108,
1010109,1010109,
