//this config file was auto-generated by Excel2lua tool do not modify it!
Id,SkillID,TargetGroup,ChooseRule,Param1,Param2,
10000,27030101;27030101;27030102,2;2;2,1;1;1,,,
10001,27030103,2,1,,,
10002,27030101,2,1,,,
1010101,28060102,1,1,,,
1010102,28060101,1,1,,,
1010103,28060103,2,1,,,
1010201,27030104,2,1,,,
1010202,27030105,2,1,,,
1010203,27030172,2,1,,,
1010204,27030110,2,1,,,
1010205,27030111,2,1,,,
1010206,27030112,2,1,,,
101201,27010101,2,1,,,
1012011,27010111,2,1,,,
1012012,27010121,2,1,,,
101202,27010102,2,1,,,
101203,27010171,1,1,,,
101301,27040101,2,1,,,
1013011,27040111,2,1,,,
1013012,27040121,2,1,,,
101302,27040102,2,1,,,
101303,27040171,2,1,,,
101304,27040103,2,1,,,
101305,27040173,2,1,,,
101401,27020101,2,1,,,
1014011,27020111,2,1,,,
1014012,27020121,2,1,,,
101402,27020102,2,1,,,
101403,27020103,2,1,,,
101404,27020104,2,2,,,
101405,27020172,2,1,,,
101406,27020173,2,1,,,
101407,27020106,2,1,,,
101408,27020174,1,5,,,
101501,28050101,2,1,,,
101502,28050102,2,6,,,
101503,28050103,2,1,,,
101504,28050104,2,1,,,
101505,28050105,2,6,,,
101506,28050106,2,1,,,
101507,28050107,2,1,,,
101508,28050501,1,1,,,
101801,27020105,2,1,,,
101901,27030107,2,1,,,
102001,27030107,2,1,,,
2001011,27030106,1,1,,,
2001012,27030107,2,1,,,
2002011,27020105,2,1,,,
2003011,28060104,2,1,,,
2003012,28060105,1,1,,,
2003013,28060106,2,1,,,
2003014,28060172,1,1,,,
2003015,28060107,1,1,,,
2003016,28060108,1,1,,,
2003017,28060109,1,1,,,
2003018,28060110,2,1,,,
2004011,28050108,2,1,,,
2004012,28050109,2,1,,,
2004013,28050110,2,1,,,
2004014,28050111,1,1,,,
2004015,28050104,2,1,,,
2004016,28050105,2,1,,,
2004017,28050106,2,1,,,
2004018,28050107,2,1,,,
2005011,27030108,1,1,,,
2005012,27030109,2,1,,,
28070101,28070101,2,1,,,
28070201,28070201,2,1,,,
28080101,28080101,2,1,,,
28090101,28090101,2,1,,,
28090201,28090201,2,1,,,
28100101,28100101,2,1,,,
28100201,28100201,2,1,,,
28110101,28110101,2,1,,,
28120101,28120101,2,1,,,
28130101,28130101,2,1,,,
28130201,28130201,2,1,,,
28140101,28140101,2,1,,,
28140201,28140201,2,1,,,
28150101,28150101,2,1,,,
28150201,28150201,2,1,,,
28160101,28160101,2,1,,,
28160201,28160201,2,1,,,
28160301,28160301,1,1,,,
28170101,28170101,2,1,,,
28170201,28170201,2,1,,,
28180101,28180101,2,7,281806,,
28230101,28230101,2,7,281806,,
28190101,28190101,2,1,,,
28190201,28190201,2,1,,,
28200101,28200101,2,1,,,
28200201,28200201,2,1,,,
28210101,28210101,2,1,,,
28220101,28220101,2,1,,,
