//this config file was auto-generated by Excel2lua tool do not modify it!
Id,TriggerTiming,Condition,Trigger,BreakState
10000,1,10501,10002,1
101101,2,10803,101102,0
101102,2,!10803,101103,1
101103,2,10803,101102,1
102101,3,!10806,101602,0
102102,2,10806,101601,0
102103,2,!10806,101602,0
103101,1,10501,101702,1
104101,2,10807,2103,0
104102,2,!10807,2203,1
104103,2,10807,2103,1
105101,2,10501,2204,0
105102,2,!10808,2304,1
105103,2,10808,2104,1
106101,5,,102801,0
106102,4,10810,102802,1
107101,5,10814,102902,1
107102,5,!10814,102901,1
108101,5,10814,103002,1
108102,5,!10814,103001,1
1010020,4,10811,1010021,1
1010021,5,,1010020,0
1010100,2,10812,1010101,0
1010101,2,!10812,1010102,1
1010102,2,10812,1010101,1
