//this config file was auto-generated by Excel2lua tool do not modify it!
ID,WaveType,Enemy1,Enemy2,Enemy3,CameraCfgId,WaveCameraCfgId,OffsetPos1,OffsetPos2,OffsetPos3,OffsetEulerAngles1,OffsetEulerAngles2,OffsetEulerAngles3,TeamOffsetPos,TeamOffsetEulerAngles,WaveBuffList
10000,1,-1,100102,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10001,1,-1,100109,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10002,1,-1,100107,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10003,1,-1,100107,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10004,1,-1,100107,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10005,1,-1,100104,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10006,1,-1,100108,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10007,1,-1,100108,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10008,1,-1,100109,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10009,1,-1,100109,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10010,1,-1,100102,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10011,1,-1,100109,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
