//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Name,BuffDec,Icon,AnimIcon,BuffType,CanBeDispelled,BuffLogic,CasterAttrType,OwnerAttrType,BeginEffect,LoopEffect,EndEffect,DurationTime,SubBuff,ActiveType,ActiveExclution,DestroyConditionTiming,DestroyCondition,DestroyDieState,DurationRound,MaxPile,LayerUpDurationTimeType,AutoDestroy,BattleExitRetain,BuffGroup,BuffGroupPriority,GroupReplaceType,PersonalPopTipsOnBegin,PersonalPopTipsOnEnd,TeamPopTipsOnBegin,TeamPopTipsOnEnd
10000,减血buff,减血buff描述,,,1,1,2001,,,,,,0,,,0,,,,-1,1,1,,0,,,,1,2,,
10001,加血buff,加血buff描述,,,1,1,2002,,,,,,0,,,0,,,,-1,1,1,,0,,,,3,4,,
10002,持续减血buff,持续减血buff描述,,,1,1,3001,,,,,,3000,,,0,,,,-1,3,1,,0,1,1,1,3,4,,
10003,持续减加血uff,持续加血buff描述,,,1,1,3002,,,,,,15000,,,0,,,,-1,3,1,,0,1,2,2,3,4,,
10004,封印,封印,,,1,1,1001,,,,,,5000,,,0,,,,-1,1,1,,0,,,,,,,
10005,增加暴击率,增加暴击率,,,1,1,4001,,,,,,10000,,,0,,,,-1,1,1,,0,,,,1,2,,
10006,增加攻击力,增加攻击力,,,1,1,4002,,,,,,10000,,,0,,,,-1,1,1,,0,,,,1,2,,
10007,无视防御力,无视防御力,,,1,1,4003,,,,,,10000,,,0,,,,-1,1,1,,0,,,,1,2,,
10008,眩晕buff,眩晕buff,,,2,1,1002,,,,,,5000,,,0,,,,-1,1,1,,0,,,,1,2,,
10009,减少行动点,减少行动点,,,2,1,5001,,,,,,5000,,,0,,,,-1,1,1,,0,,,,1,2,,
10010,冻结行动点,冻结行动点,,,2,1,1003,,,,,,5000,,,0,,,,-1,1,1,,0,,,,1,2,,
10011,添加护盾反伤,添加护盾反伤,,,1,1,6001,,,,,,10000,,,0,,,,-1,1,1,,0,,,,1,2,,
10012,格挡DeBuff,格挡减益buff,,,1,1,7001,,,,,,10000,,,0,,,,-1,1,1,,0,,,,,,,
10013,增加攻击力（可叠加）,增加攻击力(可叠加),,,1,1,4002,,,,,,10000,,,0,,,,-1,3,1,,0,,,,,,,
10014,瞄准,瞄准攻击1阶段buff,,,1,1,1004,,,,,,8000,,,0,,,,-1,1,1,,0,,,,,,,
10015,瞄准攻击 攻击完成,瞄准攻击 攻击完成 清除瞄准1阶段buff,,,1,1,1005,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
10016,强化buff,替换技能数据,,,1,1,8001,,,,,,100000,,,0,,,,-1,1,1,,0,,,,,,,
10017,强化技能buff,强化技能添加buff,,,1,1,9001,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
10018,持续吸血,根据打击点持续吸血的buff,,,1,1,10001,,,,,,100000,,,0,,,,-1,1,1,,0,,,,,,,
10019,持续添加buff,根据打击点持续添加buff,,,1,1,11001,,,,,,100000,,,0,,,,-1,1,1,,0,,,,,,,
10020,必定暴击,暴击百分百,,,1,1,4004,,,,,,100000,,,0,,,,-1,1,1,,0,,,,,,,
