//this config file was auto-generated by Excel2lua tool do not modify it!
ID,SourceConditionType,RelationalOperator,Param,
1005201,10,1,100380,
1005202,10,1,100390,
1005203,10,1,100370,
1005204,10,1,100060,
1005205,10,1,100320,
1005206,10,1,100430,
1005207,10,1,100590,
1005208,10,1,100600,
1005209,10,1,100560,
1005210,10,1,100610,
1005211,10,1,100390,
1005212,10,1,100020,
1005213,10,1,100420,
1005214,10,1,100410,
1005215,10,1,100060,
1005216,10,1,100380,
1005217,10,1,100430,
1005218,10,1,100700,
1005219,10,1,100390,
1005220,10,1,100720,
1005221,10,1,100010,
1005222,10,1,100850,
1005223,10,1,100860,
1005224,10,1,100020,
1005225,10,1,102010003,
1005226,10,1,100040,
1005227,10,1,100050,
1005228,10,1,100060,
1005229,10,1,100070,
1005230,10,1,100080,
1005231,10,1,100090,
1005232,10,1,100100,
1005233,10,1,100110,
1005234,10,1,100120,
1005235,10,1,100130,
1005236,10,1,100140,
1005237,10,1,100150,
1005238,10,1,100160,
1005239,10,1,100170,
1005240,10,1,100180,
1005241,10,1,100190,
1005242,10,1,100210,
1005243,10,1,100220,
1005244,10,1,100230,
1005245,10,1,100240,
1005246,10,1,100250,
1005247,10,1,100260,
1005248,10,1,100270,
1005249,10,1,100280,
1005250,10,1,100290,
1005251,10,1,100300,
1005252,10,1,100310,
1005253,10,1,100320,
1005254,10,1,100330,
1005255,10,1,100340,
1005256,10,1,100350,
1005257,10,1,100360,
1005258,10,1,100370,
1005259,10,1,100380,
1005260,10,1,100390,
1005261,10,1,100400,
1005262,10,1,100410,
1005263,10,1,100420,
1005264,10,1,100430,
1005265,10,1,100520,
1005266,10,1,100540,
1005267,10,1,100550,
1005268,10,1,100560,
1005269,10,1,100570,
1005270,10,1,100580,
1005271,10,1,100590,
1005272,10,1,100600,
1005273,10,1,100610,
1005274,10,1,100620,
1005275,10,1,100630,
1005276,10,1,100640,
1005277,10,1,100650,
1005278,10,1,100660,
1005279,10,1,100670,
1005280,10,1,100680,
1005281,10,1,100690,
1005282,10,1,100700,
1005283,10,1,100710,
1005284,10,1,100720,
1005285,10,1,100730,
1005286,10,1,100770,
1005287,10,1,100790,
1005288,10,1,100800,
1005289,10,1,100810,
1005290,10,1,100850,
1005291,10,1,100860,
1005292,10,1,100870,
1005293,10,1,100880,
1005294,10,1,100890,
1005295,10,1,100900,
1005296,10,1,100910,
1005297,10,1,100920,
1005298,10,1,100930,
1005299,10,1,100940,
1005300,10,1,100950,
1005301,10,1,100960,
1005302,10,1,100970,
1005303,10,1,100980,
1005304,10,1,100990,
1005305,10,1,101000,
1005306,10,1,101010,
1005307,10,1,101020,
1005308,10,1,101030,
1005309,10,1,100530,
1005310,10,1,100870,
1005311,10,1,101920,
1005312,10,1,101930,
1005313,10,1,101940,
1005314,10,1,100510,
1005315,10,1,100520,
1005316,10,1,100540,
1005317,10,1,100010,
10000,10,1,100360,
10001,10,1,100360,
10002,10,1,100360,
10003,10,1,100360,
10004,10,1,100360,
10005,10,1,102010002,
10006,10,1,100410,
10007,10,1,102010002,
