//this config file was auto-generated by Excel2lua tool do not modify it!
ID,PrefabName,EffectName,InteractObjectType,EnterBehavior,CompleteBehavior,CanPerception,TargetState,IsInScene
102020010,common_heal_box,fx_p_Interaction,3,,10001;10002,0,0,0
102020011,interact_p_baoxiang_02,,1,,10004,0,0,0
102020024,common_heal_box,fx_p_Interaction,3,,10005;10006,0,0,0
102020031,common_heal_box,fx_p_Interaction,3,,10007;10008,0,0,0
102020038,common_heal_box,fx_p_Interaction,3,,10009;10010,0,0,0
102020045,common_heal_box,fx_p_Interaction,3,,10011;10012,0,0,0
102020071,interact_p_baoxiang_02,,4,10013,,0,0,0
102020072,interact_p_baoxiang_02,,4,10014,,0,0,0
102020073,interact_p_baoxiang_02,,4,10015,,0,0,0
102020074,interact_p_baoxiang_02,,4,10016,,0,0,0
102020075,interact_p_baoxiang_01_m,fx_p_Interaction_baoxiang_01_m,3,,10018,1,0,0
