//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Des,EventType,CorrelationIDs,EventTriggerType,EventTriggerConditionGroupID,EventActiveConditionGroupID,EventCompleteConditionGroupID,MapElementID,EventReward,ForcedShow
100010,角色出生点,1,0,1,,,,,,0
100020,战斗1-固定怪,2,4,2,,,,5001,,1
100030,战斗2-固定怪*2,2,5,2,,,,5001,,1
100040,战斗3-巡逻1,2,6,2,,,,,,1
100050,战斗4-巡逻1,2,7,2,,,,,,1
100060,战斗5-小BOSS,2,8,2,,,,,,1
100070,战斗6-巡逻*2,2,9,2,,,,,,1
100080,战斗7-巡逻*@,2,10,2,,,,,,1
100090,战斗8-巡逻,2,11,2,,,,,,1
100100,战斗9-巡逻*1,2,12,2,,,,,,1
100110,战斗2.5-固定怪教背刺,2,13,2,,,,,,1
100120,战斗4.5,2,14,2,,,,,,1
100130,天上战斗1-动画入场,2,15,2,,,,,,1
100140,天上战斗2,2,16,2,,,,,,1
100150,天上战斗3-宝箱,2,17,2,,,,,,1
100160,天上战斗4,2,18,2,,,,,,1
100170,天上战斗5,2,19,2,,,,,,1
100180,天上战斗6-商场1,2,20,2,,,,,,1
100190,天上战斗7,2,21,2,,,,,,1
100200,天上-车厢人,2,22,2,,,,,,1
100210,美术馆建筑物内的箱子,4,2001,3,,,,9001,100010,0
100220,地图最左上角的分支箱子,4,2002,3,,,,9001,100010,0
100230,马路分支处箱子,4,2003,3,,,,8001,100010,0
100240,环形立交桥上的箱子,4,2004,3,,,,8001,100010,0
100250,居民区分支箱子一,4,2005,3,,,,8001,100010,0
100260,居民区分支箱子二,4,2006,3,,,,8001,100010,0
100270,居民区尽头死路的箱子,4,2007,3,,,,8001,100010,0
100280,电箱所在楼顶的箱子,4,2008,3,,,,8001,100010,0
100290,空中右侧探索平台箱子,4,2009,3,,,,8001,100010,0
100300,空中左侧探索平台箱子,4,2010,3,,,,8001,100010,0
100310,商场一层带电房间箱子,4,2011,3,,,,8001,100010,0
100320,广告牌13,4,2012,3,,,,,,0
100330,广告牌16,4,2013,3,,,,,,0
100340,机关门25,4,2014,3,,,,,,0
100350,观看美术馆玻璃内宝箱,3,100350,2,,,,,,0
100360,怪物冲出美术馆，大楼倒塌,3,100360,2,,,,,,0
100370,怪物飞入大楼,3,100370,2,,,,,,0
100380,电箱1,4,2015,3,,,,,,0
100390,电箱2,4,2015,3,,,,,,0
100400,水池,10,100031,2,,,,,,0
100410,大桥断裂塌陷,4,2017,2,,,,,,0
100420,地图解锁点一,4,1005,3,,,,10001,,0
100430,地图解锁点二,4,2025,3,,,,10001,,0
100450,移动平台1,8,100013,2,,,,,,0
100460,移动平台2,8,100014,2,,,,,,0
100470,移动平台3,8,100015,2,,,,,,0
100480,移动平台4,8,100016,2,,,,,,0
100490,移动平台5,8,100017,2,,,,,,0
100500,移动平台6,8,100018,2,,,,,,0
100510,电水洼,9,1,1,,,,,,0
100520,关闭电水洼,4,2016,1,,,,,,0
100530,虚空区域,9,2,2,,,,,,0
100540,天上-BOSS,2,23,1,,,,,,0
100550,分支-巡逻怪,2,24,2,,,,,,0
100560,副本引导碰撞盒1,7,0,2,,,,,,0
100570,副本引导碰撞盒2,7,0,2,,,,,,0
100580,副本引导碰撞盒3,7,0,2,,,,,,0
100590,副本引导碰撞盒4,7,0,2,,,,,,0
100600,副本引导碰撞盒5,7,0,2,,,,,,0
100610,副本引导碰撞盒6,7,0,2,,,,,,0
100620,副本引导Boss电箱临时碰撞盒,7,0,2,,,,,,0
100630,副本引导雕塑精英怪临时碰撞盒,7,0,2,,,,,,0
100640,副本引导电梯临时碰撞盒,7,0,2,,,,,,0
100650,副本引导碰撞盒7,7,0,2,,,,,,0
100660,副本引导碰撞盒8,7,0,2,,,,,,0
100670,副本引导碰撞盒9,7,0,2,,,,,,0
100680,副本引导碰撞盒10,7,0,2,,,,,,0
100690,副本引导碰撞盒11,7,0,2,,,,,,0
100700,副本引导碰撞盒12,7,0,2,,,,,,0
100710,副本引导碰撞盒13,7,0,2,,,,,,0
100720,副本引导碰撞盒14,7,0,2,,,,,,0
100730,副本引导碰撞盒15,7,0,2,,,,,,0
100740,投掷物1,4,2018,3,,,,,,0
100750,投掷物2,4,2018,3,,,,,,0
100760,投掷物3,4,2018,3,,,,,,0
100770,剧情点,3,100770,2,,,,,,0
100780,存档点100010,7,0,1,,,,,,0
100790,电梯上来右侧箱子,4,2022,3,,,,8001,100010,0
100800,宝箱分支战斗,2,100800,2,,,,,,0
100810,宝箱分支战斗2,2,100810,2,,,,,,0
100820,电梯外部机关1,4,2019,3,,,,,,0
100830,电梯外部机关2,4,2020,3,,,,,,0
100840,电梯内部机关,4,2021,3,,,,,,0
100850,电击BOSS触发,4,2023,3,,,,,,0
100860,boss过场,4,2042,1,,,,,,0
100870,boss触发战斗,4,2024,2,,,,,,0
100880,商业街尽头采集物,4,2026,3,,,,8001,100010,0
100890,商业街公路左侧采集物,4,2027,3,,,,8001,100010,0
100900,高架右侧采集物,4,2028,3,,,,8001,100010,0
100910,分支街区楼顶采集物,4,2029,3,,,,8001,100010,0
100920,分支街区地面采集物,4,2030,3,,,,8001,100010,0
100930,消防梯采集物,4,2031,3,,,,8001,100010,0
100940,消防梯二层采集物,4,2032,3,,,,8001,100010,0
100950,消防梯右侧血包,4,2033,3,,,,7001,,0
100960,电箱采集物,4,2034,3,,,,8001,100010,0
100970,电梯附近采集物,4,2035,3,,,,8001,100010,0
100980,空中左侧探索平台采集物一,4,2036,3,,,,8001,100010,0
100990,空中左侧探索平台采集物二,4,2037,3,,,,8001,100010,0
101000,空中右侧火车战斗回血包,4,2038,3,,,,7001,,0
101010,分支街区马脸回血包,4,2039,3,,,,7001,,0
101020,分支街区尽头回血包,4,2040,3,,,,7001,,0
101030,Boss电箱,4,2041,3,,,,7001,,0
101040,存档点100020,7,0,1,,,,,,0
101050,存档点100030,7,0,1,,,,,,0
101060,存档点100040,7,0,1,,,,,,0
101070,存档点100050,7,0,1,,,,,,0
101080,存档点100060,7,0,1,,,,,,0
101090,存档点100070,7,0,1,,,,,,0
101100,存档点100080,7,0,1,,,,,,0
101110,存档点100090,7,0,1,,,,,,0
101120,存档点100100,7,0,1,,,,,,0
101130,存档点100110,7,0,1,,,,,,0
101140,存档点100120,7,0,1,,,,,,0
101150,存档点100130,7,0,1,,,,,,0
101160,存档点100140,7,0,1,,,,,,0
101170,存档点100150,7,0,1,,,,,,0
101180,存档点100160,7,0,1,,,,,,0
101190,存档点100170,7,0,1,,,,,,0
101200,存档点100180,7,0,1,,,,,,0
101210,存档点100190,7,0,1,,,,,,0
101220,存档点100210,7,0,1,,,,,,0
101230,存档点100220,7,0,1,,,,,,0
101240,存档点100230,7,0,1,,,,,,0
101250,存档点100240,7,0,1,,,,,,0
101260,存档点100250,7,0,1,,,,,,0
101270,存档点100260,7,0,1,,,,,,0
101280,存档点100270,7,0,1,,,,,,0
101290,存档点100280,7,0,1,,,,,,0
101300,存档点100290,7,0,1,,,,,,0
101310,存档点100300,7,0,1,,,,,,0
101320,存档点100310,7,0,1,,,,,,0
101330,存档点100320,7,0,1,,,,,,0
101340,存档点100330,7,0,1,,,,,,0
101350,存档点100340,7,0,1,,,,,,0
101360,存档点100350,7,0,1,,,,,,0
101370,存档点100360,7,0,1,,,,,,0
101380,存档点100370,7,0,1,,,,,,0
101390,存档点100380,7,0,1,,,,,,0
101400,存档点100390,7,0,1,,,,,,0
101410,存档点100400,7,0,1,,,,,,0
101420,存档点100410,7,0,1,,,,,,0
101430,存档点100420,7,0,1,,,,,,0
101440,存档点100430,7,0,1,,,,,,0
101450,存档点100520,7,0,1,,,,,,0
101460,存档点100540,7,0,1,,,,,,0
101470,存档点100550,7,0,1,,,,,,0
101480,存档点100560,7,0,1,,,,,,0
101490,存档点100570,7,0,1,,,,,,0
101500,存档点100580,7,0,1,,,,,,0
101510,存档点100590,7,0,1,,,,,,0
101520,存档点100600,7,0,1,,,,,,0
101530,存档点100610,7,0,1,,,,,,0
101540,存档点100620,7,0,1,,,,,,0
101550,存档点100630,7,0,1,,,,,,0
