//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Type,InitSkin,InitLinks,WeaponType,RoleClass,RolePositioning
100000000,0,110000001,,0,,
100000001,1,110010001|110011001,"0|122000001,122000002",3,str_character_class_resonance2,str_character_class_05|str_character_class_10
100000002,1,110020001|110021001,0|120100001,3,str_character_class_carryout2,str_character_class_05|str_character_class_10
100000003,1,110030001|110031001,0|120300001,3,str_character_class_carryout,str_character_class_05|str_character_class_10
100000004,1,110040001|110041001,0|120500001,3,str_character_class_helper,str_character_class_05|str_character_class_10
100000005,1,110050001|110051001,0|120300002,3,str_character_class_carryout,str_character_class_05|str_character_class_10
100000006,1,110060001|110061001,0|120600001,3,str_character_class_carryout2,str_character_class_05|str_character_class_10
100000007,1,110070001|110071001,0|120100012,3,str_character_class_carryout2,str_character_class_05|str_character_class_09
100000008,1,110080001|110081001,"0|122000011,122000012",3,str_character_class_resonance2,str_character_class_04|str_character_class_12
100000009,1,110090001|110091001,0|120300012,3,str_character_class_carryout,str_character_class_05|str_character_class_20
100000010,1,110100001|110101001,0|120300012,3,str_character_class_carryout,str_character_class_05|str_character_class_10
100000011,1,110110001|110111001,0|120600011,3,str_character_class_resonance,str_character_class_04|str_character_class_20
100000012,1,110120001|110121001,0|120600011,3,str_character_class_resonance,str_character_class_05|str_character_class_10
100000013,1,110130001|110131001,0|120300011,3,str_character_class_0100,str_character_class_05|str_character_class_10
100000014,1,110140001|110141001,"0|122000011,122000012",3,str_character_class_0101,str_character_class_04|str_character_class_11
100000015,1,110150001|110151001,0|120300013,3,str_character_class_0102,str_character_class_05|str_character_class_10
100000016,1,110160001|110161001,0|120600012,3,str_character_class_0103,str_character_class_05|str_character_class_19
100000017,1,110170001|110171001,0|122000013,3,str_character_class_0104,str_character_class_04|str_character_class_21
100000018,1,110180001|110181001,0|120100011,3,str_character_class_0105,str_character_class_04|str_character_class_22
100000019,1,110190001|110191001,"0|122000011,122000012",3,str_character_class_0106,str_character_class_05|str_character_class_10
100000020,1,110200001|110201001,0|120100011,3,str_character_class_0107,str_character_class_05|str_character_class_09
100000021,1,110210001|110211001,0|120300011,3,str_character_class_0108,str_character_class_04|str_character_class_13
100000022,1,110220001|110221001,0|120300013,3,str_character_class_0109,str_character_class_05|str_character_class_17
100000023,1,110230001|110231001,0|120600011,3,str_character_class_0110,str_character_class_04|str_character_class_18
100000024,1,110240001|110241001,"0|122000011,122000012",3,str_character_class_0111,str_character_class_05|str_character_class_14
100000025,1,110250001|110251001,0|120300011,3,str_character_class_0112,str_character_class_05|str_character_class_18
100000026,1,110260001|110261001,0|120100011,3,str_character_class_0113,str_character_class_05|str_character_class_15
100000027,1,110270001|110271001,0|120300017,3,str_character_class_0114,str_character_class_05|str_character_class_08
100000028,1,110280001|110281001,0|120100015,3,str_character_class_0115,str_character_class_04|str_character_class_06
100000029,1,110290001|110291001,"0|120500012,122000020",3,str_character_class_0116,str_character_class_03|str_character_class_07
100000030,1,110300001|110301001,"0|122000018,122000019",3,str_character_class_0117,str_character_class_05|str_character_class_10
100000031,1,110310001|110311001,0|120600014,3,str_character_class_0118,str_character_class_04|str_character_class_16
100000032,1,110320001|110321001,0|120100016,3,str_character_class_0119,str_character_class_04|str_character_class_06
100000033,1,110330001|110331001,"0|122000021,122000022",3,str_character_class_0120,str_character_class_05|str_character_class_10
100000034,1,110340001|110341001,0|120300018,3,str_character_class_0121,str_character_class_05|str_character_class_08
100000035,1,110350001|110351001,0|120600015,3,str_character_class_0122,str_character_class_04|str_character_class_16
100000036,1,110360001|110361001,0|120300019,3,str_character_class_0123,str_character_class_05|str_character_class_17
100000037,1,110370001|110371001,0|120100017,3,str_character_class_0124,str_character_class_04|str_character_class_06
100000038,1,110380001|110381001,"0|122000023,122000024",3,str_character_class_0125,str_character_class_05|str_character_class_10
100000039,1,110390001|110391001,"0|120500012,122000020",3,str_character_class_0126,str_character_class_03|str_character_class_16
100000040,1,110400001|110401001,"0|122000023,122000024",3,str_character_class_0127,str_character_class_03|str_character_class_31
