//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Name,Des,Price,ItemList
com.tencent.baiye.item1,直购道具1,"内含1张小经验卡,2张大经验卡",60,"21020401,1|21020501,2"
com.tencent.baiye.item2,直购道具2,"内含3张小经验卡,6张大经验卡",160,"21020401,3|21020501,6"
com.tencent.baiye60,60光尘,光尘60个,6,"3,60"
com.tencent.baiye600,600光尘,光尘600个,60,"3,600"
com.tencent.baiyeint.testitem1,直购道具1,"内含1张小经验卡,2张大经验卡",60,"21020401,1|21020501,2"
com.tencent.baiyeint.testitem2,直购道具2,"内含3张小经验卡,6张大经验卡",160,"21020401,3|21020501,6"
com.tencent.baiyeint.testdust60,60光尘,光尘60个,6,"3,60"
com.tencent.baiyeint.testdust600,600光尘,光尘600个,60,"3,600"
com.tencent.baiyeint.testdust1000,1000光尘,光尘1000个,100,"3,1000"
com.tencent.baiyeint.testitem3,直购道具3,"内含10张小经验卡,15张大经验卡",200,"21020401,10|21020501,15"
