//this config file was auto-generated by Excel2lua tool do not modify it!
ID,AssetID,Name,Des,Icon,Sort,EliteLevel,ModelShowPos,ModelShowAni,ModelShowScale,ModelShowRot
1,2700011,str_monster_name_2700011,str_monster_des_2700011,2700011_icon,5,1,0.05;0.11;0,body_atk_idle,0.65;0.65;0.65,0;-23.08;0
2,2700021,str_monster_name_2700021,str_monster_des_2700021,2700021_icon,4,1,-0.02;0;-1.28,body_atk_idle,0.6;0.6;0.6,0;0;0
3,2700041,str_monster_name_2700041,str_monster_des_2700041,2700041_icon,6,1,0.03;0.03;-0.71,body_atk_idle,0.8;0.8;0.8,0;16.6;0
4,2700031,str_monster_name_2700031,str_monster_des_2700031,2700031_icon,3,1,0.01;0.15;0,body_atk_idle,0.4;0.4;0.4,0;0;0
5,2800051,str_monster_name_2800051,str_monster_des_2800051,2800051_icon,1,3,0.15;-0.2;0,body_atk_idle,0.25;0.25;0.25,0;-32.8;0
6,2800061,str_monster_name_2800061,str_monster_des_2800061,2800061_icon,2,2,-0.13;0.16;-1.7,body_atk_idle,0.25;0.25;0.25,0;0;0
11,2710011,str_monster_name_2710011,str_monster_des_2710011,2700011_icon,5,1,0.05;0.11;0,body_atk_idle,0.65;0.65;0.65,0;-23.08;0
12,2710021,str_monster_name_2710021,str_monster_des_2710021,2700021_icon,4,1,-0.02;0;-1.28,body_atk_idle,0.6;0.6;0.6,0;0;0
13,2710041,str_monster_name_2710041,str_monster_des_2710041,2700041_icon,6,1,0.03;0.03;-0.71,body_atk_idle,0.8;0.8;0.8,0;16.6;0
14,2710031,str_monster_name_2710031,str_monster_des_2710031,2700031_icon,3,1,0.01;0.15;0,body_atk_idle,0.4;0.4;0.4,0;0;0
15,2710032,str_monster_name_2710032,str_monster_des_2710032,2700031_icon,3,1,0.01;0.15;0,body_atk_idle,0.4;0.4;0.4,0;0;0
16,2710033,str_monster_name_2710033,str_monster_des_2710033,2700031_icon,3,1,0.01;0.15;0,body_atk_idle,0.4;0.4;0.4,0;0;0
17,2810051,str_monster_name_2810051,str_monster_des_2810051,2800051_icon,1,3,0.15;-0.2;0,body_atk_idle,0.25;0.25;0.25,0;-32.8;0
18,2810061,str_monster_name_2810061,str_monster_des_2810061,2800061_icon,2,2,-0.13;0.16;-1.7,body_atk_idle,0.25;0.25;0.25,0;0;0
19,2810062,str_monster_name_2810062,str_monster_des_2810062,2800061_icon,2,2,-0.13;0.16;-1.7,body_atk_idle,0.25;0.25;0.25,0;0;0
20,2720041,str_monster_name_2710041,str_monster_des_2720041,2700041_icon,6,1,0.03;0.03;-0.71,body_atk_idle,0.8;0.8;0.8,0;16.6;0
21,2820062,str_monster_name_2820062,str_monster_des_2820062,2800061_icon,2,2,-0.13;0.16;-1.7,body_atk_idle,0.25;0.25;0.25,0;0;0
22,2730011,str_monster_name_2730011,str_monster_des_2730011,2700021_icon,4,1,-0.02;0;-1.28,body_atk_idle,0.6;0.6;0.6,0;0;0
23,2730021,str_monster_name_2730021,str_monster_des_2730021,2700021_icon,3,1,-0.02;0;-1.28,body_atk_idle,0.6;0.6;0.6,0;0;0
24,2730031,str_monster_name_2730031,str_monster_des_2730031,2700021_icon,5,1,-0.02;0;-1.28,body_atk_idle,0.6;0.6;0.6,0;0;0
25,2730041,str_monster_name_2730041,str_monster_des_2730041,2700021_icon,3,1,-0.02;0;-1.28,body_atk_idle,0.6;0.6;0.6,0;0;0
26,2730051,str_monster_name_2730051,str_monster_des_2730051,2700021_icon,6,1,-0.02;0;-1.28,body_atk_idle,0.6;0.6;0.6,0;0;0
27,2730061,str_monster_name_2730061,str_monster_des_2730061,2700021_icon,6,1,-0.02;0;-1.28,body_atk_idle,0.6;0.6;0.6,0;0;0
