//this config file was auto-generated by Excel2lua tool do not modify it!
Id,EffectType,TargetType,Condition,TriggerKeyframe,Param1,Param2,Param3,Param4,Param5,Param6
99999,2,3,,0,99999,,,,,
99998,2,9,,0,99996,,,,,
99997,2,3,,0,99997,,,,,
1010101,1,3,,0,1,20,2,0,,
1010102,1,3,,0,1,20,2,0,,
1010103,1,3,,0,2,20,2,0,,
1010201,1,3,,0,1,20,1,0,,
1010301,1,3,,0,1,0,2,0,,
1010302,2,3,,62,101006,,,,,
1010303,3,3,10201,0,10110303,,,,,
1010304,1,3,,0,1,0,4,40,,
1010305,2,3,,92,101007,,,,,
1010401,1,3,,0,1,0,2,0,,
1010402,1,3,,0,1,0,2,0,,
1010403,1,3,,0,1,0,2,0,,
1010404,1,3,,0,1,0,2,0,,
1010405,2,3,,0,101003,,,,,
1020101,1,3,,0,1,14,2,0,,
1020102,1,3,,0,1,14,2,0,,
1020103,1,3,,0,2,14,2,0,,
1020201,1,3,,0,1,0,2,0,,
1020202,2,8,10204,34,102004,,,,,
1020203,1,3,,0,1,0,2,0,,
1020204,1,3,,0,1,0,2,0,,
1020205,1,3,,0,2,0,2,0,,
1020206,3,3,10300,0,10210302,,,,,
1020207,1,3,,0,1,0,2,0,,
1020208,2,3,,0,102003,,,,,
1020209,2,3,,0,102003,,,,,
1020301,1,3,,0,1,0,2,0,,
1020302,1,3,,0,1,0,2,0,,
1020303,1,3,,0,1,0,2,0,,
1020304,1,3,,0,1,0,2,0,,
1020305,1,3,,0,1,0,2,0,,
1020306,1,3,,0,2,0,3,18.5,,
1020307,2,1,10203,140,102005,,,,,
1020308,2,4,10203,140,102005,,,,,
1020601,1,3,,0,1,8,0,0,,
1020401,1,3,,0,1,70,2,0,,
1020501,1,3,,0,1,0,2,0,,
1020502,1,3,,0,1,0,2,0,,
1020503,1,3,,0,1,0,2,0,,
1020504,1,3,,0,1,0,2,0,,
1020505,1,3,,0,1,0,2,0,,
1020506,1,3,,0,1,0,2,0,,
1020507,1,3,,0,1,0,2,0,,
1020508,1,3,,0,1,0,2,0,,
1020509,1,3,,0,1,0,2,0,,
1020510,1,3,,0,1,0,2,0,,
1020511,1,3,,0,1,0,2,0,,
1030101,1,3,,0,1,3,1,0,,
1030102,1,3,,0,1,3,1,0,,
1030103,1,3,,0,1,3,1,0,,
1030104,1,3,,0,1,3,1,0,,
1030105,1,3,,0,1,3,1,0,,
1030106,1,3,,0,1,3,1,0,,
1030107,1,3,,0,1,3,1,0,,
1030108,1,3,,0,1,3,1,0,,
1030109,1,3,,0,1,3,1,0,,
1030110,1,3,,0,1,3,1,0,,
1030201,1,3,,0,1,4,1,0,,
1030202,2,1,,62,103002,,,,,
1030203,1,3,,0,1,4,1,0,,
1030204,1,3,,0,1,4,1,0,,
1030205,1,3,,0,1,4,1,0,,
1030206,1,3,,0,1,4,1,0,,
1030207,1,3,,0,1,4,1,0,,
1030208,1,3,,0,1,4,1,0,,
1030209,1,3,,0,1,4,1,0,,
1030210,1,3,,0,1,4,1,0,,
1030211,1,3,,0,1,4,1,0,,
1030212,1,3,,0,1,4,1,0,,
1030213,1,3,,0,1,4,1,0,,
1030214,1,3,,0,1,4,3,18.5,,
1030301,1,3,,0,1,60,4,50,,
1030302,3,3,10300,0,10310303,,,,,
1030303,1,3,,0,1,30,3,18.5,,
1030304,2,3,,48,103005,,,,,
1030401,1,3,,0,2,0,1,0,,
1030402,1,3,,0,3,0,1,0,,
1030403,1,3,,0,4,0,1,0,,
1030404,1,3,,0,2,0,1,0,,
1030405,1,3,,0,5,0,3,18.5,,
1050101,1,3,,0,1,3,1,0,,
1050102,2,3,,70,105001,,,,,
1050201,1,3,,0,1,3,1,0,,
1050202,1,3,,0,1,3,1,0,,
1050203,1,3,,0,1,3,1,0,,
1050204,1,3,,0,1,3,1,0,,
1050205,1,3,,0,1,3,2,0,,
1050206,2,9,,108,105002,,,,,
1050301,1,3,,0,1,3,3,18.5,,
1050302,1,3,,0,1,3,1,0,,
1050303,1,3,,0,1,3,1,0,,
1050304,1,3,,0,1,3,1,0,,
1050305,1,3,,0,1,3,3,18.5,,
1050401,1,3,,0,1,3,1,0,,
1050402,1,3,,0,1,3,1,0,,
1050501,1,3,,0,1,3,1,0,,
1050502,1,3,,0,1,3,1,0,,
1050503,1,3,,0,1,3,1,0,,
1050504,1,3,,0,1,3,2,0,,
1050601,1,3,,0,1,3,1,0,,
1060101,1,3,,0,1,3,1,0,,
1060102,1,3,,0,1,3,1,0,,
1060103,1,3,,0,1,3,2,0,,
1060201,2,1,10701,41,106001,,,,,
1060202,1,3,,0,1,3,1,0,,
1060203,1,3,,0,1,3,1,0,,
1060204,1,3,,0,1,3,2,0,,
1060205,1,3,,0,1,3,3,18.5,,
1060301,1,3,,0,1,3,1,0,,
1060302,1,3,,0,1,3,1,0,,
1060303,1,3,,0,1,3,1,0,,
1060304,1,3,,0,1,3,1,0,,
1060305,3,3,10300,0,10600303,,,,,
1060306,1,3,,0,1,3,2,0,,
1060401,1,3,,0,1,3,1,0,,
1060402,1,3,,0,1,3,1,0,,
1060501,1,3,,0,1,3,1,0,,
1060502,1,3,,0,1,3,1,0,,
1060503,1,3,,0,1,3,1,0,,
1060504,1,3,,0,1,3,1,0,,
1060505,1,3,,0,1,3,2,0,,
1060601,1,3,,0,1,3,1,0,,
1060602,1,3,,0,1,3,1,0,,
1060603,1,3,,0,1,3,1,0,,
1060604,1,3,,0,1,3,1,0,,
2060108,2,1,10701,0,106001,,,,,
2060101,3,3,10300,0,10600303,,,,,
2050101,2,2,,0,1050010,,,,,
2050102,5,1,,0,1050020,,,,,
1221101,1,3,,0,1,2,1,0,,
1221102,1,3,,0,1,2,1,0,,
1221103,1,3,,0,1,2,1,0,,
1221104,1,3,,0,1,2,1,0,,
1221105,1,3,,0,1,2,1,0,,
1221106,1,3,,0,1,2,1,0,,
1221107,1,3,,0,1,2,1,0,,
1221108,1,3,,0,1,2,1,0,,
1221109,1,3,,0,1,2,1,0,,
1221110,1,3,,0,1,2,1,0,,
1221201,1,3,,0,1,3,1,0,,
1221202,2,3,,62,103006,,,,,
1221203,1,3,,0,1,3,1,0,,
1221204,1,3,,0,1,3,1,0,,
1221205,1,3,,0,1,3,1,0,,
1221206,1,3,,0,1,3,1,0,,
1221207,1,3,,0,1,3,1,0,,
1221208,1,3,,0,1,3,1,0,,
1221209,1,3,,0,1,3,1,0,,
1221210,1,3,,0,1,3,1,0,,
1221211,1,3,,0,1,3,1,0,,
1221212,1,3,,0,1,3,1,0,,
1221213,1,3,,0,1,3,1,0,,
1221214,1,3,,0,1,4,3,18.5,,
1221301,1,3,,0,1,30,4,50,,
1221302,3,3,10201,0,12210303,,,,,
