//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Name,SectionType,Desc,ActorType,ActorID,ActorSkin,SceneName,HideEventObject,StartOrEnd,NextSection,CanSkip,OptionWord1,OptionNextSection1,OptionWord2,OptionNextSection2,OptionWord3,OptionNextSection3,OptionWord4,OptionNextSection4,Break,BlackScreenBeforeStart,BlackScreenDuringTimer,BlackScreenBeforeEnd
1,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,1,2,0,,0,,0,,0,,0,0,,,
2,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,3,0,,0,,0,,0,,0,0,,,
3,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,4,0,,0,,0,,0,,0,0,,,
4,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,5,0,,0,,0,,0,,0,0,,,
5,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,6,0,,0,,0,,0,,0,0,,,
6,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,7,0,,0,,0,,0,,0,0,,,
7,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,8,0,,0,,0,,0,,0,0,,,
8,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,9,0,,0,,0,,0,,0,0,,,
9,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,10,0,,0,,0,,0,,0,0,,,
10,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,11,0,,0,,0,,0,,0,0,,,
11,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,12,0,,0,,0,,0,,0,0,,,
12,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,13,0,,0,,0,,0,,0,0,,,
13,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,14,0,,0,,0,,0,,0,0,,,
14,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,15,0,,0,,0,,0,,0,0,,,
15,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,16,0,,0,,0,,0,,0,0,,,
16,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,17,0,,0,,0,,0,,0,0,,,
17,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,18,0,,0,,0,,0,,0,0,,,
18,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,19,0,,0,,0,,0,,0,0,,,
19,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,20,0,,0,,0,,0,,0,0,,,
20,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,21,0,,0,,0,,0,,0,0,,,
21,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,22,0,,0,,0,,0,,0,0,,,
22,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,0,23,0,,0,,0,,0,,0,0,,,
23,,1,,1;1;1,100000001;100000003;100000004,110010001;110030001;110040001,200011,All,2,-1,0,,0,,0,,0,,0,0,,,
