//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Name,SectionType,Desc,ActorType,ActorID,ActorSkin,SceneName,HideEventObject,StartOrEnd,NextSection,CanSkip,OptionWord1,OptionNextSection1,OptionWord2,OptionNextSection2,OptionWord3,OptionNextSection3,OptionWord4,OptionNextSection4,Break,BlackScreenBeforeStart,BlackScreenDuringTimer,BlackScreenBeforeEnd
1,,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,3,-1,0,节制,2,世界,3,星星,4,耐鲁,5,0,,,
2,节制,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,动作,6,表情,7,,0,,0,0,,,
3,世界,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,世界动作,8,世界表情,9,,0,,0,0,,,
4,星星,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,动作,10,表情,11,,0,,0,0,,,
5,耐鲁,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,耐鲁动作,12,耐鲁表情,13,,0,,0,0,,,
6,节制动作,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,结束,14,还看节制,2,看其他角色,1,,0,0,,,
7,节制表情,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,结束,14,还看节制,2,看其他角色,1,,0,0,,,
8,世界动作,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,结束,14,还看世界,3,看其他角色,1,,0,0,,,
9,世界表情,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,结束,14,看其他角色,1,还看世界,3,,0,0,,,
10,星星动作,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,结束,14,还看星星,4,看其他角色,1,,0,0,,,
11,星星表情,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,结束,14,还看星星,4,看其他角色,1,,0,0,,,
12,耐鲁动作,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,结束,14,还看耐鲁,5,看其他角色,1,,0,0,,,
13,耐鲁表情,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,结束,14,还看耐鲁,5,看其他角色,1,,0,0,,,
14,结束,1,,1;1;1;1,100000001;100000003;100000004;100000006,110010001;110030001;110040001;110060001,200011,None,2,-1,0,,0,,0,,0,,0,0,,,
