//this config file was auto-generated by Excel2lua tool do not modify it!
ID,BattleType,WaveList,BattleEnterTL,EnterPos1,EnterPos2,DeathTimeline
102020022,1,10015,,0;0;0,0;0;0,
102020021,1,10014;100141,,0;0;0,0;0;0,
102020020,1,10013,,0;0;0,0;0;0,
102020019,1,10012,,0;0;0,0;0;0,
102020018,1,10011,,0;0;0,0;0;0,
102020013,1,10006,,0;0;0,0;0;0,
102020014,1,10007,,0;0;0,0;0;0,
102020015,1,10008,,0;0;0,0;0;0,
102020016,1,10009,,0;0;0,0;0;0,
102020017,1,10010,,0;0;0,0;0;0,
102020023,1,10016;100161,,0;0;0,0;0;0,
102020025,1,10017,,0;0;0,0;0;0,
102020026,1,10018,,0;0;0,0;0;0,
102020027,1,10019,,0;0;0,0;0;0,
102020028,1,10020,,0;0;0,0;0;0,
102020029,1,10021,,0;0;0,0;0;0,
102020030,1,10022,,0;0;0,0;0;0,
102020032,1,10023,,0;0;0,0;0;0,
102020033,1,10024,,0;0;0,0;0;0,
102020034,1,10025,,0;0;0,0;0;0,
102020035,1,10026,,0;0;0,0;0;0,
102020036,1,10027,,0;0;0,0;0;0,
102020037,1,10028;100281,,0;0;0,0;0;0,
102020039,1,10029;10030,,0;0;0,0;0;0,
102020040,1,10031;10032,,0;0;0,0;0;0,
102020041,1,10033;10034,,0;0;0,0;0;0,
102020042,1,10035;10036,,0;0;0,0;0;0,
102020043,1,10037;10038,,0;0;0,0;0;0,
102020044,1,10039;10040;10041,,0;0;0,0;0;0,
102020076,1,10042,,0;0;0,0;0;0,
