//this config file was auto-generated by Excel2lua tool do not modify it!
ID,BattleType,WaveList,BattleEnterTL,EnterPos1,EnterPos2,DeathTimeline
124420000,1,10000,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420001,1,10001,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420002,1,10002,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420003,1,10003,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420004,1,10004,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420005,1,10005,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420007,1,10006,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420008,1,10007,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420009,1,10008,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420010,1,10009,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420013,1,10010,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
124420014,1,10011,,-6.277319;0;-11.07948,3.183969;0;-11.50642,
