//this config file was auto-generated by Excel2lua tool do not modify it!
ID,ValueType,Value,
CellHeight,float,4,
AirFlyGravityAcceleration,float,61,
AirDownGravityAcceleration,float,4,
ActorLandTime,float,1,
ActionPointMaxCount,float,12,
ActionMaxProcess,float,100,
ActionPointAddSpeedOnFree,float,110,
ActionPointAddSpeedOnPlayerRound,float,0,
ActionPointAddSpeedOnMonsterRound,float,110,
ElementRestraintAtkPercent,float,5000,
ElementRestraintGetEnergyPercent,float,5000,
BeElementRestraintAtkPercent,float,5000,
BeElementRestraintGetEnergyPercent,float,5000,
ElementLinkTime,float,500,
ElementLinkEnforceTime,float,3000,
ElementLinkeTimeUseSkillDuration,bool,TRUE,
CustomCD,float,500,
TeamSkillCD,float,0,
RoundEndWaitElementLink,bool,TRUE,
NormalKOTime,float,20,
FirstFlyBulletTime,float,500,
WaveAniTime,float,2000,
EnergyBallRecoveredReduce,float,5000,
NextMonsterDelayTime,float,0,
