//this config file was auto-generated by Excel2lua tool do not modify it!
ID,LogicDec,LogicNode,LogicParam1,LogicParam2,LogicParam3,LogicParam4,LogicParam5,LogicParam6,LogicParam7,LogicParam8
1001,封印,3,,,,,,,,
1002,眩晕,5,,,,,,,,
1003,冻结行动条,7,,,,,,,,
1004,进入瞄准状态,16,,,,,,,,
1005,清空瞄准状态,17,,,,,,,,
2001,修改目标血量,1,1,1,FALSE,-500,,,,
2002,修改目标血量2,1,1,1,FALSE,2000,,,,
2003,修改目标行动值上限,23,10,,,,,,,
3001,持续修改血量,42,10000,1,1,0,1000,10,,
3002,持续修改血量2,42,10001,1,1,0,1000,10,,
4001,增加暴击率,4,CRT,1,0.8,,,,,
4002,增加攻击力,4,ATK,1,500,,,,,
4003,无视防御力,4,IngoreRom,1,0.2,,,,,
4004,百分百暴击,4,CRT,1,1,,,,,
4005,修改防御,4,RDM,1,3000,,,,,
5001,减少行动条,6,-1,,,,,,,
5002,减少行动条2,6,-2,,,,,,,
6001,护盾,8,2000,10012,1,0,,,,
7001,格挡buff,9,1,10003,,,,,,
8001,替换技能数据,18,5003,5004,,,,,,
9001,强化技能 添加buff,19,10310101,10006,10310102,10018,10310103,10019,,
10001,持续吸血触发器,42,10050,1,4,1,,,,
10002,吸血,1,3,1,FALSE,0.3,,,,
11001,添加眩晕buff,21,1,10008,1,1,,,,
12001,百分比修改属性,4,ATK,2,0.1,,,,,
12002,百分比修改属性,4,ATK,2,1,,,,,
12003,逻辑修改技能攻击力,24,DamageEnhance,1,,,,,,
12004,逻辑修改大招攻击力,24,DamageEnhance,2,,,,,,
12005,百分比修改属性,30,ATKPercentage,1,1,,,,,
12006,百分比降低防御,4,RDM,2,-0.1,,,,,
13001,百分比获得能量加成,11,0.1,,,,,,,
13002,百分比获得能量加成2,11,1,,,,,,,
13003,提升充能,29,ChargePercentage,1,,,,,,
14001,返还行动值,12,0.1,,,,,,,
14002,返还行动值2,12,0.3,,,,,,,
14003,逻辑返回行动值,25,1,0,,,,,,
15001,随机减少一个技能消耗,13,1,1,4,,,,,
16001,百分比减少技能cd,14,1,0.1,,,,,,
16002,百分比减少技能cd2,14,1,0.8,,,,,,
16003,逻辑减少cd,26,,1,,,,,,
17001,随机减少一个技能的cd,15,3,,,,,,,
18001,重置被动cd,22,,,,,,,,
19001,打断敌方蓄力,101,,,,,,,,
20001,逻辑返还能量,27,2,,,,,,,
21001,灼烧区域响应,28,,,,,,,,
21002,测试护盾,8,2,5000,10,fx_p_12000601_passiveskill_02_heal,,,,
21003,测试反伤,31,0.5,10,,,,,,
21004,条件判断成功添加buff,37,10701,101001,,,,,,
99994,辅助验证角色 大招测试 治疗,1,1,1,FALSE,-10000,,,,
99995,辅助验证角色 大招测试 治疗效果提升,43,1,,,,,,,
99996,辅助验证角色 大招测试 驱散,46,2,1,,,,,,
99997,辅助验证角色 技能2测试 驱散,46,1,2,,,,,,
99998,辅助验证角色 技能3测试 buff逻辑,45,1,1,1,0.5,2,3,,
99999,辅助验证角色 技能3测试 buff触发,42,99998,1,1,2000,1500,10,,
101001,节制增加百分百暴击率,4,CRT,2,1,,,,,
101002,节制被动增加爆伤,4,CRTD,2,0.2,,,,,
101004,节制被动吸血,301,0.5,,,,,,,
101005,增加行动条,6,6,,,,,,,
101006,降低防御30%,4,RDM,2,-0.3,,,,,
101007,降低防御30%,4,RDM,2,-0.3,,,,,
101008,8号-共鸣（先手|必杀）-节制-技能2,13,1,1,-1,-1,0,999,,
101009,8号-共鸣（先手|必杀）-节制-被动触发器,42,101010,1,5,2,-1,-1,1|2,
101010,8号-共鸣（先手|必杀）-节制-记录当前连招数Buff,4,ATK,1,0,,,,,
101011,8号-共鸣（先手|必杀）-节制-根据连击数回复行动值,6,2,2,101010,100,,,,
101012,8号-共鸣（先手|必杀）-节制-攻击提高效果,4,ATK,2,1,,,,,
101013,8号-共鸣（先手|必杀）-节制-大招连招效果加成,42,101012,1,5,1,1,-1,2,
101014,13号-共鸣（先手|耗尽）-节制-耗尽,13,3,1,-1,99,,,,
101015,13号-共鸣（先手|耗尽）-节制-耗尽添加新对应层数buff,52,101016,1,1,2,,,,
101016,13号-共鸣（先手|耗尽）-节制-额外增伤,4,DamageEnhance,1,0.1,,,,,
101017,13号-共鸣（先手|耗尽）-节制-额外增能,4,EnergyEnhance,1,0.1,,,,,
101018,13号-共鸣（先手|耗尽）-节制-必杀增伤,4,DamageEnhance,1,1,,,,,
101019,13号-共鸣（先手|耗尽）-耗尽被动  触发器,42,101020,8,10,22002,FALSE,,,
101020,13号-共鸣（先手|耗尽）-节制-被动增伤,4,DamageEnhance,1,0.5,,,,,
101021,13号-共鸣（先手|耗尽）-节制-共生组,41,101014,5,,,,,,
101022,13号-共鸣（先手|耗尽）-节制-共生组2,41,101015,5,,,,,,
102001,太阳增加攻击力,4,ATK,2,1,,,,,
102002,太阳被动护盾,8,1,10000,,,,,,
102003,修改防御,4,RDM,1,-100,,,,,
102004,增加行动条,6,6,,,,,,,
102005,伤害加深Debuff,4,ATK,2,0.5,,,,,
102006,9号-输出（后手|必杀）-太阳-必杀-根据连招数提高伤害,4,DamageEnhance,1,0,3,102009,0.15,4,
102007,9号-输出（后手|必杀）-太阳-2技能-提升伤害,4,DamageEnhance,1,1,,,,,
102008,9号-输出（后手|必杀）-太阳-必杀被动触发器,42,102009,1,5,2,-1,-1,1|2,
102009,9号-输出（后手|必杀）-太阳-必杀-记录当前连招数Buff,4,ATK,1,0,,,,,
102010,9号-输出（后手|必杀）-太阳-减费监测触发器,42,102011,1,5,2,-1,5,1,
102011,9号-输出（后手|必杀）-太阳-减费技能2,13,2,3,12110103,0,,,,
103001,强化技能 添加buff,19,10310101,103002,10310102,103003,10310103,103004,,
103002,世界被动提升伤害,30,ATKPercentage,0.5,1,,,,,
103003,持续吸血触发器,42,103011,1,4,1,,,,
103004,添加眩晕buff,21,1,103005,1,1,,,,
103006,7号-输出（后手|负面）-世界-技能2-持续掉血（触发器）,42,103007,1,1,0,1000,30,,
103007,7号-输出（后手|负面）-世界-技能2-持续掉血（具体伤害效果）,1,2,1,FALSE,1,ATK,-0.1,,
103008,7号-输出（后手|负面）-世界-必杀增伤,4,DamageEnhance,1,1,1,2,0.5,3,
103009,输出A必杀变身,49,BattleSub,120105,,,,,,
103010,输出A必杀增加伤害,4,DamageEnhance,1,1,,,,,
103011,被动吸血,1,3,1,FALSE,0.3,,,,
103012,宇宙被动-监听,34,103013,,,,,,,
103013,世界-宇宙被动增加伤害,4,DamageEnhance,1,0.1,,,,,
103014,世界宇宙-必杀增伤,4,DamageEnhance,1,1,,,,,
104001,辅助角色 技能2测试 驱散（废弃）,46,1,1,,,,,,
104002,辅助角色 技能2降防御（废弃）,4,RDM,2,-0.5,,,,,
104003,辅助角色-技能2-种子本体,42,104004,1,1,0,4000,10,,
