//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Desc,ConditionNode,Param1,Param2,Param3,Param4,Param5,
10000,无条件,1,,,,,,
10100,100% 概率,2,100,,,,,
10200,起手技能,3,1,,,,,
10201,连招数大于等于3之后,4,3,,,,,
10202,连招里面的第5次连招,4,5,,,,,
10203,连招数大于等于2之后,4,2,,,,,
10204,连招数大于等于4之后,4,4,,,,,
10205,连招数大于等于10之后,4,10,,,,,
10300,当前技能对焦点目标的克制关系是否与参数相同,5,1,,,,,
10301,当前技能对焦点目标的克制关系是否与参数相同,5,-1,,,,,
10302,当前技能对焦点目标的克制关系是否与参数相同,5,0,,,,,
10400,当前技能是否已成功打断目标蓄力,6,,,,,,
10401,当前技能是否暴击过（举例暂未开发）,0,,,,,,
10501,当前血量是否够,7,<,0.7,,,,
10601,对位或对位两侧是否为空或存活,8,0,,,,,
10602,对位或对位两侧是否为空或存活,8,1,,,,,
10603,对位或对位两侧是否为空或存活,8,1,0,,,,
10701,判断属性是否衰减,9,RDMPercentage,,,,,
10801,判断角色是否有指定buff,10,1,10003,,,,
10802,判断角色是否有某类buff,10,2,2,,,,
10803,怪物B是否有护盾,10,1,202003,,,,
10804,太阳印记是否6层,11,1,102007,6,=,,
10805,怪物A是否有负面buff,10,2,2,,,,
10806,angry是否有标记,10,1,203001,,,,
10807,怪物B是否有护盾,10,1,306001,,,,
10808,怪物B是否有护盾,10,1,304001,,,,
10809,腐化没有冷却中技能的判断,201,1,,,,,
10810,怪物buff超过5层,11,1,215002,10,>=,,
10811,区域1（受击切技能）-超过10层,11,1,281505,10,>=,,
10812,区域3（单体&群体&次数盾）-greed-技能3-次数盾,10,1,281401,,,,
10813,玩家主动入战,20,,,,,,
10814,是否有虚弱buff,10,1,282313,,,,
11201,施放技能类型：普通,12,2,1,,,,
11202,施放技能类型：必杀,12,2,2,,,,
11203,施放技能类型：派生,12,2,3,,,,
11211,耐鲁施放技能2,12,1,10600102,,,,
20111,连招2次后结束,103,2,,,,,
20112,技能2次后结束,101,2,,,,,
20113,队伍累计消耗12点行动值,104,12,,,,,
21020,连招状态：结束,102,,,,,,
21021,连招状态：连击1次,102,1,,,,,
21022,释放三次普通技能,101,3,TRUE,,,,
21023,普通技能开始,12,3,,,,,
21024,连招内最后一个技能是否重复,13,,,,,,
21025,连招离开普通阶段 ,108,,,,,,
21026,连招结束返回True,102,,,,,,
22001,连招内技能重复,13,,,,,,
22002,耗尽被动条件1 -无行动值,14,=,0,,,,
22003,耗尽被动条件2-行动值满过,15,,,,,,
32601,宇宙技能2派生条件：【强化】达到3层,11,1,103013,3,>=,,
32602,宇宙必杀buff条件：【强化】达到5层,11,1,103013,5,>=,,
32801,耐鲁-普攻-技能1释放,12,1,12800101,,,,
32802,连招状态：连击4次,102,3,,,,,
1350301,输出9.5（附加生命）-世界-技能3-自身当前生命比例高于技能目标,17,>,,,,,
1360301,输出9.3（周期减冷却）-柯锡斯-技能3-判断是否有强化效果,10,1,136004,,,,
1330307,输出9.2（必杀反消耗）-太阳-技能3-派生点（Hit数大于等于10）,16,>=,10,,,,
1340301,共鸣9.2（Hit叠暗伤）-世界-技能3-Buff点（Hit数大于等于2）,16,>=,2,,,,
1421302,体验关-世界-技能3-派生点,16,>=,11,,,,
1401303,体验关-节制-技能3-派生点,16,>=,6,,,,
1401304,体验关-节制-必杀暴击率增加,18,1,,,,,
1401305,挑战关-受击回血,11,1,281507,11,>=,,
1401306,挑战关-受击加防御,11,1,282302,16,>=,,
1471302,V期-输出3-世界(助战)-技能3-全部友方参与连招,19,TRUE,3,,,,
148004,V期-共鸣1-耐鲁(传递)-技能2-身上是否有【力量传递】buff,10,1,148001,,,,
148003,V期-共鸣1-耐鲁(传递)-技能3-是否释放了技能3,12,1,14810103,,,,
1501205,V期-共鸣3-太阳(终结)-技能2-概率加不进入冷却的效果,2,50,,,,,
