//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Des,EventType,CorrelationIDs,EventTriggerType,EventTriggerConditionGroupID,EventActiveConditionGroupID,EventReward,MapElementID
100010,出生点,1,,1,,,300010,
100020,战斗点,2,10011,2,,10001,300010,
100030,战斗点,2,10011,2,,,300020,
100040,交互点,4,1001,3,,,,5001
100050,多阶段事件1,4,1002,3,,,,5001
100060,多阶段事件2,4,1003,3,,,,5001
100070,多阶段事件3,4,1004,3,,,,5001
100080,地图解锁点,4,1005,3,,,,7001
100090,交互大楼倒塌,4,1006,3,,,,7001
100100,自动平台,8,100011,2,,,,
100110,特殊区域,9,1,2,,,,
100120,多阶段,10,100031,2,,,,
100130,剧情动画,3,1001,2,,,,
100140,地图解锁点,4,1005,3,,,,7001
