//this config file was auto-generated by Excel2lua tool do not modify it!
ID,SourceConditionType,RelationalOperator,Param,
10000,10,1,102020004,
10001,10,1,102020005,
10002,10,1,102020006,
10003,10,1,102020001,
10004,10,1,102020018,
10005,10,1,102020019,
10006,10,1,102020020,
10007,10,1,102020021,
10008,10,1,102020022,
10009,10,1,102020023,
10010,10,1,102020025,
10011,10,1,102020026,
10012,10,1,102020027,
10013,10,1,102020028,
10014,10,1,102020029,
10015,10,1,102020030,
10016,10,1,102020032,
10017,10,1,102020033,
10018,10,1,102020034,
10019,10,1,102020035,
10020,10,1,102020036,
10021,10,1,102020037,
10022,10,1,102020039,
10023,10,1,102020040,
10024,10,1,102020041,
10025,10,1,102020042,
10026,10,1,102020043,
10027,10,1,102020044,
10028,10,1,102020000,
10029,10,1,102020075,
