//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Des,EventType,CorrelationIDs,EventTriggerType,EventTriggerConditionGroupID,EventActiveConditionGroupID,EventCompleteConditionGroupID,MapElementID,EventReward,ForcedShow
124420000,daw,2,124420000,1,,,,,,0
124420001,daw,2,124420001,1,,,,,,0
124420002,daw,2,124420002,1,,,,,,0
124420003,daw,2,124420003,1,,,,,,0
124420004,wda,2,124420004,1,,,,,,0
124420005,daw,2,124420005,1,,,,,,0
124420006,wda,1,0,1,,,,,,0
124420007,daw,2,124420007,1,,,,,,0
124420008,daw,2,124420008,1,,,,,,0
124420009,da,2,124420009,1,,,,,,0
124420010,daw,2,124420010,1,,,,,,0
124420011,dawd,9,124420011,1,,,,,,0
124420012,dwa,4,124420012,3,,,,,,0
124420013,daw,2,124420013,1,,,,,,0
124420014,daw,2,124420014,1,,,,,,0
