//this config file was auto-generated by Excel2lua tool do not modify it!
ID,BehaviorType,BehaviorParam
1101,2,interact_common_heal_box
1102,1,
1103,3,100010
1104,8,100120
1105,2,tl_interact_organ
1106,6,1
1107,2,tl_01_1001_1
1108,2,TestBuildPlay
1109,2,tl_open_the_door
1110,2,tl_ad_board_100320
1111,2,tl_ad_board_100330
1112,8,100400
1113,7,100510
1114,2,tl_bridge
1115,999,TL-展示周围景物地形
1116,9,
1117,10,"100031,ExternalOrgans_1,2"
1118,10,"100031,ExternalOrgans_2,1"
1119,10,"100031,InterOrgans_1,2;100031,InterOrgans_2,1"
1120,2,interact_common_heal_box
1121,2,tl_210000_100010_02
1122,11,21000001
1123,6,2
1124,4,4;300001
1125,2,interact_common_heal_box
1126,2,tl_0103_999_4
10000,1,
10006,1,
10005,2,interact_common_heal_box
10004,1,
10003,2,interact_common_heal_box
