//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Des,SectorWarningRange,PursueType,PursueParam,PursueSpeed,Pursueradius,BattleRadius,HearRange,MaxHearing,StayThrowIdleAnim,HearHeight,OffSet
2001,测试配置,50;10;3,4,body_fb_idle01,3,20,3,10,30,confuse,2.5,0;0;0
2002,不动,50;10;3,2,body_fb_idle01,3,0,4,5,30,confuse,2.5,0;0;0
2003,巡逻：面条人普通速度追击,50;10;3,4,body_fb_idle01,3,20,4,10,30,confuse,2.5,0;0;0
2004,巡逻：lie超听力+高速追击,50;10;3,4,body_fb_idle01,5,20,4,15,20,confuse,2.5,0;0;0
2005,巡逻：面条人超听距+高速追击,50;10;3,4,body_fb_idle01,5,30,4,20,30,confuse,2.5,0;0;0
2006,巡逻：三无面条人,0;0;0,4,body_fb_idle01,3,1,0,0,80,confuse,0,0;0;0
2007,巡逻：超听距+超听力+广域+快追击,50;10;3,4,body_fb_idle01,18,45,4,35,120,confuse,2.5,0;0;0
2008,巡逻：超听距+超听力+广域,50;10;3,4,body_fb_idle01,18,40,4,35,120,confuse,2.5,0;0;0
2009,巡逻：超听距+超听力+快追击,50;10;3,4,body_fb_idle01,12,45,4,35,120,confuse,2.5,0;0;0
2010,巡逻：超听距+超听力,50;10;3,4,body_fb_idle01,12,40,4,35,120,confuse,2.5,0;0;0
2011,巡逻：超听距+广域+快追击,50;10;3,4,body_fb_idle01,18,45,4,35,190,confuse,2.5,0;0;0
2012,巡逻：超听距+广域,50;10;3,4,body_fb_idle01,18,40,4,35,190,confuse,2.5,0;0;0
2013,巡逻：超听距+快追击,50;10;3,4,body_fb_idle01,12,45,4,35,190,confuse,2.5,0;0;0
2014,巡逻：超听距,50;10;3,4,body_fb_idle01,12,40,4,35,190,confuse,2.5,0;0;0
2015,巡逻：超听力+广域+快追击,50;10;3,4,body_fb_idle01,18,45,4,25,120,confuse,2.5,0;0;0
2016,巡逻：超听力+广域,50;10;3,4,body_fb_idle01,18,40,4,25,120,confuse,2.5,0;0;0
2017,巡逻：超听力+快追击,50;10;3,4,body_fb_idle01,12,45,4,25,120,confuse,2.5,0;0;0
2018,巡逻：超听力,50;10;3,4,body_fb_idle01,12,40,4,25,120,confuse,2.5,0;0;0
2019,巡逻：广域+快追击,50;10;3,4,body_fb_idle01,18,45,4,25,190,confuse,2.5,0;0;0
2020,巡逻：广域,50;10;3,4,body_fb_idle01,18,40,4,25,190,confuse,2.5,0;0;0
2021,巡逻：快追击,50;10;3,4,body_fb_idle01,12,45,4,25,190,confuse,2.5,0;0;0
2022,巡逻：标准,50;10;3,4,body_fb_idle01,12,40,4,25,190,confuse,2.5,0;0;0
2023,巡逻：投掷物品教学,50;10;3,4,body_fb_idle01,12,40,4,10,80,confuse,2.5,0;0;0
2024,巡逻：投掷物品考验,50;10;3,4,body_fb_idle01,18,45,4,15,100,confuse,2.5,0;0;0
2025,巡逻：体验关宝箱怪物,50;10;3,4,body_fb_idle01,18,25,4,15,100,confuse,2.5,0;0;0
2026,巡逻：楼梯附近怪物一,50;10;3,4,body_fb_idle01,12,35,3,10,100,confuse,2.5,0;0;0
2027,巡逻：楼梯附近怪物二,50;10;3,4,body_fb_idle01,12,35,4,20,50,confuse,2.5,0;0;0
2028,不动-不追,50;10;3,2,body_fb_idle01,3,0,1,0,30,confuse,2.5,0;0;0
2102,不动_elite,50;10;3,2,body_fb_idle01,3,0,7,5,30,confuse,2.5,0;0;0
2113,巡逻：超听距+快追击_elite,50;10;3,4,body_fb_idle01,12,45,7,35,190,confuse,2.5,0;0;0
2121,巡逻：快追击_elite,50;10;3,4,body_fb_idle01,12,45,7,25,190,confuse,2.5,0;0;0
2122,巡逻：标准_elite,50;10;3,4,body_fb_idle01,12,40,7,25,190,confuse,2.5,0;0;0
2125,巡逻：体验关宝箱怪物_elite,50;10;3,4,body_fb_idle01,18,25,7,15,100,confuse,2.5,0;0;0
2127,巡逻：楼梯附近怪物二_elite,50;10;3,4,body_fb_idle01,12,35,7,20,50,confuse,2.5,0;0;0
