//this config file was auto-generated by Excel2lua tool do not modify it!
ID,CharType,Char,Embattlepos,EmbattleActAni,EmbattleGray
110000001,0,100000000,0.38;-0.45;6.7,body_show_idle,0.3;0.4;0.5
110010001,0,100000001,0.33;-0.36;5.5,body_show_idle,0.3;0.4;0.5
110011001,1,100000001,0.33;-0.36;5.5,body_show_idle,0.3;0.4;0.5
110020001,0,100000002,0.33;-0.28;5.5,body_show_idle,0.3;0.4;0.5
110021001,1,100000002,0.33;-0.28;5.5,body_show_idle,0.3;0.4;0.5
110030001,0,100000003,0.33;-0.31;5.5,body_show_idle,0.3;0.4;0.5
110031001,1,100000003,0.33;-0.32;5.5,body_show_idle,0.3;0.4;0.5
110040001,0,100000004,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110041001,1,100000004,0.837;-0.168;1.714,body_show_idle,0.3;0.4;0.5
110050001,0,100000005,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110051001,1,100000005,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110060001,0,100000006,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110061001,1,100000006,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110070001,0,100000007,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110071001,1,100000007,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110080001,0,100000008,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110081001,1,100000008,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110090001,0,100000009,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110091001,1,100000009,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110100001,0,100000010,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110101001,1,100000010,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110110001,0,100000011,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110111001,1,100000011,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110120001,0,100000012,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110121001,1,100000012,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110130001,0,100000013,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110131001,1,100000013,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110140001,0,100000014,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110141001,1,100000014,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110150001,0,100000015,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110151001,1,100000015,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110160001,0,100000016,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110161001,1,100000016,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110170001,0,100000017,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110171001,1,100000017,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110180001,0,100000018,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110181001,1,100000018,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110190001,0,100000019,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110191001,1,100000019,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110200001,0,100000020,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110201001,1,100000020,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110210001,0,100000021,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110211001,1,100000021,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110220001,0,100000022,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110221001,1,100000022,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
