//this config file was auto-generated by Excel2lua tool do not modify it!
ID,CondDesc,CondCopy,CondAddWay,CondPara1,CondPara2,CondPara3,CondPara4
1,始终满足,始终满足的条件,-1,,,,
2,角色达到XX等级,角色等级,-1,需要达到的等级,,,
3,玩家获得XX金币,累计获得金币,0,需要获得金币数,,,
4,达成XX成就,达成成就,-1,需要达成的成就,,,
5,完成指定任务,完成任务,-1,任务id,,,
6,玩家获得XX钻石,获得钻石,0,需要获得钻石数,,,
7,玩家获得X种不同物品,获得不同种物品,0,需要获得物品的种类数量,,,
8,玩家获得X种不同物品N,获得指定个数的某种物品,0,物品N,需要获得的个数X,,
9,X时间内完成任务,指定时间内完成任务,0,在X时间内,,,
10,在指定时间X之前完成任务,在时间点钱完成任务,-1,指定时间X,,,
11,完成指定副本的指定事件,完成事件,0,副本id,事件id,,
12,通关指定副本,通关副本,-1,副本id,,,
