//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Element,MaxEnergyPower,Behit1AnimaInterval,Behit2AnimaInterval,DeathEffectTl,AirDeathEffectTl,EnterBattleTl,ExitBattleTl,BattleItemOffset,BattleItemScale,NormalDmgItemOffset,ThornDmgItemOffset,RecoverDmgItemOffset,ShowInUIHero,ShowIndex,UltEnergyIcon
100000001,0,200,,,tl_0501_110011001_01,,tl_0507_110010001_01,tl_0508_110010001_01,0;480;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_lingyu2
100000002,0,200,,,tl_0501_110021001_01,,tl_0507_110020001_01,tl_0508_110020001_01,0;430;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_yao2
100000003,0,200,,,tl_0501_110031001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;420;-30,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_qianshi2
100000004,0,120,,,tl_0501_110041001_01,,tl_0507_110040001_01,tl_0508_110040001_01,0;480;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_xingxing2
100000005,0,200,,,tl_0501_110050001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;480;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_nailu2
100000006,0,200,,,tl_0501_110060001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;420;-30,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_nailu2
100000007,0,240,,,tl_0501_110021001_01,,tl_0507_110020001_01,tl_0508_110020001_01,0;430;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,19,ui_zhandou_dazhaotouxiang_yao2
100000008,0,120,,,tl_0501_110011001_01,,tl_0507_110010001_01,tl_0508_110010001_01,0;480;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,18,ui_zhandou_dazhaotouxiang_lingyu2
100000009,0,160,,,tl_0501_110031001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;420;-30,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,17,ui_zhandou_dazhaotouxiang_qianshi2
100000010,0,160,,,tl_0501_110031001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;420;-30,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_qianshi2
100000011,0,120,,,tl_0501_110050001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;430;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,15,ui_zhandou_dazhaotouxiang_nailu2
100000012,0,120,,,tl_0501_110050001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;430;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_nailu2
