//this config file was auto-generated by Excel2lua tool do not modify it!
ID,RoleName,AssetID,AI,DungeonAnimator,OtherAnimator,OtherBattleFormName,OtherBattleFormRes,OtherBattleFormAniController,Health,ATK,RDM,CRT,CRTD,Element,PassiveSkills,IsBoss,Probability,EnergyBallIds,EnergyBallWeight,MonsterType
100101,测试-面条人,2700011,10001,2700011_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,,,50,1,1,
100102,小怪-lie,2700031,101001,2700031_battle_controller.controller,,,,,1004000,7000,4000,0.05,0,2,,,50,1,1,
100103,小怪-lie,2700031,101001,2700031_battle_controller.controller,,,,,1004000,7000,4000,0.05,0,2,,,50,1,1,
100104,小怪-lie,2700031,101001,2700031_battle_controller.controller,,,,,1004000,7000,4000,0.05,0,2,,,50,1,1,
100105,小怪-lie,2700031,101002,2700031_battle_controller.controller,,,,,1004000,7000,4000,0.05,0,2,,,50,1,1,
100106,精英greed,2800061,101101,2800061_battle_controller.controller,,,,,1004000,7000,4000,0.05,0,2,28060401;28060402,1,50,1,1,
100107,envy,2700011,101201,2700011_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,,,50,1,1,
100108,complain,2700041,101301,2700041_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,,,50,1,1,
100109,angry,2700021,101401,2700021_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,,,50,1,1,
100110,hate,2800051,101501,2800051_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,28060402,,50,1,1,
100111,鸟怪（带标记）,2700021,101602,2700021_battle_controller.controller,,,,,300000,10000,2500,0.05,0,2,,,50,1,1,
100112,boss1（正式AI）,2800051,101701,2800051_battle_controller.controller,,FormView[2],2800052,2800052_battle_controller.controller,45000,7000,4000,0.05,0,2,28060402,,50,1,1,
100113,挑战怪-重复技能减伤,2700021,101801,2700021_battle_controller.controller,,,,,1004000,7000,4000,0.05,0,2,28060404,,50,1,1,
100114,挑战怪-起手增伤,2700031,101901,2700031_battle_controller.controller,,,,,1004000,7000,4000,0.05,0,2,28060405,,50,1,1,
100115,挑战怪-耗能,2700031,102001,2700031_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,,,50,1,1,
100116,挑战怪-小偷,2700021,102101,2700021_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,,,50,1,1,
100117,挑战怪-反伤,2800061,102201,2800061_battle_controller.controller,,,,,1004000,7000,4000,0.05,0,2,28060402,1,50,1,1,
100118,挑战怪-腐蚀,2700041,102301,2700041_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,,,50,1,1,
100119,挑战怪-减行动上限,2700031,102401,2700031_battle_controller.controller,,,,,140000,7000,2500,0.05,0,2,,,50,1,1,
100120,挑战怪-次数盾,2800061,102501,2800061_battle_controller.controller,,,,,500000,7000,2500,0.05,0,2,28060402,1,50,1,1,
100121,挑战怪-固定减伤,2800061,102601,2800061_battle_controller.controller,,,,,500000,7000,2500,0.05,0,2,28060402,1,50,1,1,
100122,挑战怪-固定减能,2800061,102701,2800061_battle_controller.controller,,,,,500000,7000,2500,0.05,0,2,28060402,1,50,1,1,
100123,挑战怪-受击增伤,2700021,101401,2700021_battle_controller.controller,,,,,500000,7000,2500,0.05,0,2,27020401,,50,1,1,
100124,挑战怪-受击5次放强力技能,2700041,102801,2700041_battle_controller.controller,,,,,500000,10000,2500,0.05,0,2,27040401,,50,1,1,
100125,挑战怪-减行动上限,2700031,102401,2700031_battle_controller.controller,,,,,400000,7000,2500,0.05,0,2,,,50,1,1,
100126,envy,2700011,101201,2700011_battle_controller.controller,,,,,200000,7000,2500,0.05,0,2,,,50,1,1,
100127,complain,2700041,101301,2700041_battle_controller.controller,,,,,200000,7000,4000,0.05,0,2,,,50,1,1,
100128,envy,2700011,101201,2700011_battle_controller.controller,,,,,450000,7000,2500,0.05,0,2,,,50,1,1,
100129,主动出击-攻击型lie,2700031,102901,2700031_battle_controller.controller,,,,,84000,7000,4000,0.05,0,2,101010,,50,1,1,
100130,angry,2700021,103001,2700021_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,101010,,50,1,1,
100131,angry,2700021,103101,2700021_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,101011,,50,1,1,
100132,envy,2700011,103201,2700011_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,101012,,50,1,1,3
100133,lie,2700031,103501,2700031_battle_controller.controller,,,,,84000,7000,4000,0.05,0,2,101010,,50,1,1,
100134,envy,2700011,101201,2700011_battle_controller.controller,,,,,45000,7000,4000,0.05,0,2,101013,,50,1,1,
100135,complain,2710041,103301,2700041_battle_controller.controller,,,,,10000,8000,4000,0.05,0,1,,,100,1,1,
100136,greed,2800061,103401,2800061_battle_controller.controller,,,,,1004000,7000,4000,0.05,0,2,28060402;101015,1,50,1,1,
101000,区域1（受击提升自身伤害）-angry,2710021,1010000,2700021_battle_controller.controller,,,,,120000,10000,4000,0.05,0,2,101000,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101001,区域1（受击减能量回复）-lie,2710031,1010010,2700031_battle_controller.controller,,,,,240000,10000,4000,0.05,0,1,101001,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101002,区域1（Boss，受击切技能）-greed,2810061,1010020,2800061_battle_controller.controller,,,,,1000000,10000,4000,0.05,0,2,101002,1,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101003,区域1（锁行动上限）-lie,2710031,1010030,2700031_battle_controller.controller,,,,,240000,10000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101004,区域2（群体DOT）-lie,2710032,1010040,2700031_battle_controller.controller,,,,,240000,10000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101005,区域2（单体DOT）-complain,2710041,1010050,2700041_battle_controller.controller,,,,,120000,10000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101006,频繁AOE,2810061,1010060,2800061_battle_controller.controller,,,,,1000000,10000,4000,0.05,0,2,,1,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101007,区域3（次数护盾）-lie,2710033,1010070,2700031_battle_controller.controller,,,,,120000,10000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101008,区域4（小怪A）-envy,2710011,1010080,2700011_battle_controller.controller,,,,,80000,10000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101009,区域4（小怪B）-envy,2710011,1010090,2700011_battle_controller.controller,,,,,80000,10000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101010,指挥官 - lie,2710031,1010103,2700031_battle_controller.controller,,,,,240000,10000,4000,0.05,0,1,101006,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
