//this config file was auto-generated by Excel2lua tool do not modify it!
ID,PrefabName,Behit1AnimaInterval,Behit2AnimaInterval,EffectScale,HitNodes,WaveBornTl,DeathEffectTl,AirDeathEffectTl,BattleItemOffset,BattleItemScale,NormalDmgItemOffset,ThornDmgItemOffset,RecoverDmgItemOffset
2700011,2700011,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700011_01,tl_0501_2700011_01,tl_0504_2700011_01,0;270;0,1.2,100;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
2700021,2700021,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700021_01,tl_0501_2700021_01,tl_0504_2700021_01,0;240;0,1.2,80;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
2700041,2700041,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700041_01,tl_0501_2700041_01,tl_0504_2700041_01,0;270;0,1.2,100;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
2700031,2700031,500,500,1.5,,tl_0503_2700031_01,tl_0501_2700031_01,tl_0504_2700031_01,0;500;0,1.5,160;-200;0;200,-10|110;100|130;-80|105;160|120;-160|110,10|150;-100|155;160|160;80|170
2800051,2800051,500,500,2,,,,,0;900;0,2,160;-200;0;200,-100|180;160|165;-190|170;80|180;-40|180,10|210;-160|220;190|215;80|170
2800052,2800052,500,500,2,,,,,0;900;0,2,160;-200;0;200,-100|180;160|165;-190|170;80|180;-40|180,10|210;-160|220;190|215;80|170
2800061,2800061,500,500,2,,tl_0503_2800061_01,tl_0501_2800061_01,,-70;486;670,2,160;-200;0;200,-100|180;160|165;-190|170;80|180;-40|180,10|210;-160|220;190|215;80|170
2710011,2700011,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700011_01,tl_0501_2700011_01,tl_0504_2700011_01,0;270;0,1.2,100;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
2710021,2700021,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700021_01,tl_0501_2700021_01,tl_0504_2700021_01,0;240;0,1.2,80;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
2710041,2700041,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700041_01,tl_0501_2700041_01,tl_0504_2700041_01,0;270;0,1.2,100;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
2710031,2700031,500,500,1.5,,tl_0503_2700031_01,tl_0501_2700031_01,tl_0504_2700031_01,0;500;0,1.5,160;-200;0;200,-10|110;100|130;-80|105;160|120;-160|110,10|150;-100|155;160|160;80|170
2710032,2700031,500,500,1.5,,tl_0503_2700031_01,tl_0501_2700031_01,tl_0504_2700031_01,0;500;0,1.5,160;-200;0;200,-10|110;100|130;-80|105;160|120;-160|110,10|150;-100|155;160|160;80|170
2710033,2700031,500,500,1.5,,tl_0503_2700031_01,tl_0501_2700031_01,tl_0504_2700031_01,0;500;0,1.5,160;-200;0;200,-10|110;100|130;-80|105;160|120;-160|110,10|150;-100|155;160|160;80|170
2810051,2800051,500,500,2,,,,,0;900;0,2,160;-200;0;200,-100|180;160|165;-190|170;80|180;-40|180,10|210;-160|220;190|215;80|170
2810061,2800061,500,500,2,,tl_0503_2800061_01,tl_0501_2800061_01,,-70;486;670,2,160;-200;0;200,-100|180;160|165;-190|170;80|180;-40|180,10|210;-160|220;190|215;80|170
2810062,2800061,500,500,2,,tl_0503_2800061_01,tl_0501_2800061_01,,-70;486;670,2,160;-200;0;200,-100|180;160|165;-190|170;80|180;-40|180,10|210;-160|220;190|215;80|170
2720041,2700041,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700041_01,tl_0501_2700041_01,tl_0504_2700041_01,0;270;0,1.2,100;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
2820062,2800061,500,500,2,,tl_0503_2800061_01,tl_0501_2800061_01,,-70;486;670,2,160;-200;0;200,-100|180;160|165;-190|170;80|180;-40|180,10|210;-160|220;190|215;80|170
2730011,2700021,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700021_01,tl_0501_2700021_01,tl_0504_2700021_01,0;240;0,1.2,80;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
2730021,2700031,500,500,1.5,,tl_0503_2700031_01,tl_0501_2700031_01,tl_0504_2700031_01,0;500;0,1.5,160;-200;0;200,-10|110;100|130;-80|105;160|120;-160|110,10|150;-100|155;160|160;80|170
2730031,2700011,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700011_01,tl_0501_2700011_01,tl_0504_2700011_01,0;270;0,1.2,100;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
2730041,2700031,500,500,1.5,,tl_0503_2700031_01,tl_0501_2700031_01,tl_0504_2700031_01,0;500;0,1.5,160;-200;0;200,-10|110;100|130;-80|105;160|120;-160|110,10|150;-100|155;160|160;80|170
2730051,2700041,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700041_01,tl_0501_2700041_01,tl_0504_2700041_01,0;270;0,1.2,100;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
2730061,2700041,500,500,1,Head;Spine;Waist;Foot,tl_0503_2700041_01,tl_0501_2700041_01,tl_0504_2700041_01,0;270;0,1.2,100;-180;0;180,-10|110;100|130;-80|105;150|120;-150|110,10|150;-100|155;160|160;80|170
