//this config file was auto-generated by Excel2lua tool do not modify it!
Id,Name,SkillViewId,SkillElement,SkillType,AttackType,TargetType,SkillTimeline,CameraCareWeight,IsAddSequence,AccumulateReadyTime,AccumulateTime,HasFinalFlag,SkillCameraType,SkillCameraFix,SkillEffectTipsHitCount
601101,测试技能1,,1,1,1,2,12000601_1_skilltimeline,0,1,3000,6000,0,1,,
1001,怪物测试技能,,1,1,1,2,2700011_1_skilltimeline,0,1,3000,6000,0,1,,
1002,怪物测试技能,,1,1,1,2,2700011_1_skilltimeline,0,1,3000,6000,0,1,,
1003,召唤物测试技能,,1,1,1,2,12000601_1_summon_skilltimeline,0,1,3000,6000,0,1,,
1004,横扫,,1,1,1,2,tl_0201_0000100101_01,0,1,3000,6000,0,1,,
1005,横扫2,,1,1,1,2,tl_0201_0000100101_02,0,1,3000,6000,0,1,,
1006,冻结,,1,1,1,2,tl_0201_0000100101_03,0,1,3000,6000,0,1,,
1007,瞄准攻击1阶段,,1,1,1,2,tl_0201_0000100101_04,0,1,3000,6000,0,1,,
1008,瞄准攻击2阶段,,1,1,1,2,tl_0201_0000100101_05,0,1,3000,6000,0,1,,
2001,霜月唯测试技能1,,1,1,1,2,hero_shuangyuewei_1_SkillTimeline,0,1,3000,6000,0,1,,
2002,霜月唯测试技能2,,1,1,1,2,hero_shuangyuewei_2_SkillTimeline,0,1,3000,6000,0,1,,
2003,霜月唯测试技能3,,1,1,1,2,hero_shuangyuewei_3_SkillTimeline,0,1,3000,6000,0,1,,
2004,霜月唯测试衍生技能,,1,3,1,2,hero_shuangyuewei_3_SkillTimeline,0,1,3000,6000,0,1,,
3001,夏目洸技能1,,1,1,1,2,12000401_1_Skilltimeline,0,1,3000,6000,0,1,,
3002,夏目洸技能2,,1,1,1,2,12000401_2_Skilltimeline,0,1,3000,6000,0,1,,
3012,夏目洸技能2派生技能,,1,3,1,2,12000401_2_Skill_derivetimeline,0,1,3000,6000,0,1,,
3003,夏目洸技能3,,1,1,1,2,12000401_3_Skilltimeline,0,1,3000,6000,0,1,,
3013,夏目洸技能3召唤物技能,,1,1,1,2,12000401_burnAreatimeline,0,0,3000,6000,0,1,,
4001,世界测试技能1,,1,1,1,2,hero_nina_1_SkillTimeline,0,1,3000,6000,0,1,,
4002,世界测试技能2,,1,1,1,2,hero_nina_2_SkillTimeline,0,1,3000,6000,0,1,,
4003,世界测试技能3,,1,1,1,2,hero_nina_3_SkillTimeline,0,1,3000,6000,0,1,,
4004,世界派生技能,,1,3,1,2,hero_nina_paisheng_SkillTimeline,0,1,3000,6000,0,1,,
5001,星星测试技能1,,1,1,1,2,12000801_1_skilltimeline,0,1,3000,6000,0,1,,
5002,星星测试技能2,,1,1,1,1,12000801_2_skilltimeline,0,1,3000,6000,0,1,,
5003,星星测试技能3,,1,1,1,1,hero_nina_3_SkillTimeline,0,1,3000,6000,0,1,,
5004,星星测试技能3强化,,1,1,1,3,12000801_3_skill_powertimeline,0,1,3000,6000,0,1,,
1330,,,1,1,1,2,2700011_1_skilltimeline,0,0,3000,6000,0,1,,
1311,,,1,1,1,2,2700011_1_skilltimeline,0,1,3000,6000,0,1,,
1310,,,1,1,1,2,2700011_1_skilltimeline,0,0,3000,6000,0,1,,
1090,,,1,1,1,2,2700011_1_skilltimeline,0,1,3000,6000,0,1,,
9010,,,1,1,1,2,2700011_1_skilltimeline,0,0,3000,6000,0,1,,
9120,,,1,1,1,2,2700011_1_skilltimeline,0,1,3000,6000,0,1,,
9030,,,1,1,1,2,2700011_1_skilltimeline,0,0,3000,6000,0,1,,
9090,,,1,1,1,2,2700011_1_skilltimeline,0,1,3000,6000,0,1,,
10010,,,1,1,1,2,2700011_1_skilltimeline,0,0,3000,6000,0,1,,
10020,,,1,1,1,2,2700011_1_skilltimeline,0,1,3000,6000,0,1,,
10130,,,1,1,1,2,2700011_1_skilltimeline,0,0,3000,6000,0,1,,
10040,,,1,1,1,2,2700011_1_skilltimeline,0,1,3000,6000,0,1,,
10050,测试用大招,,1,2,1,2,tl_0202_120002_01,0,1,3000,6000,0,1,,
99999,奥利给,99999,1,1,2,2,tl_0200_12010101_01,0,1,,,0,2,,
99998,淦了,99998,1,1,2,2,tl_0200_12010102_01,0,1,,,0,2,,
99997,呕,99997,1,1,2,2,tl_0200_12010103_01,0,1,,,0,2,,
99996,小汉堡,99996,1,2,2,2,tl_0200_12010201_01,0,1,,,0,2,,
10110101,追刃,10110101,3,1,2,2,tl_0200_10110101_01,1,1,,,0,2,,
10110102,克己意志,10110102,3,1,2,2,tl_0200_10110102_01,1,1,,,0,2,,
10110103,神圣惩戒,10110103,3,1,2,2,tl_0200_10110103_01,1,1,,,0,2,,
10110303,,,3,3,2,2,tl_0200_10110303_01,1,1,,,0,2,,
10110201,神圣裁决,10110201,3,2,2,2,tl_0200_10110201_01,1,1,,,0,2,,
10210101,,10210101,2,1,1,2,tl_0200_10210101_01,1,1,,,0,1,,
10210102,,10210102,2,1,1,2,tl_0200_10210102_01,1,1,,,0,1,,
10210302,,10210103,2,3,1,2,tl_0200_10210302_01,1,1,,,0,1,,
10210103,,,2,1,1,2,tl_0200_10210103_01,1,1,,,0,1,,
10210603,夏目洸技能3召唤物技能,,2,1,1,2,tl_0200_10210603_01,1,0,,,0,1,,
10210104,,10210503,2,4,1,2,tl_0200_10210104_01,1,1,,,0,1,,
10210201,,10210201,2,2,1,4,tl_0200_10210201_01,1,1,,,0,1,,
10310101,,10310101,1,1,1,2,tl_0200_10310101_01,1,1,,,0,1,,
10310102,,10310102,1,1,1,2,tl_0200_10310102_01,1,1,,,0,1,,
10310103,,10310103,1,1,1,2,tl_0200_10310103_01,1,1,,,0,1,,
10310303,,,1,3,1,2,tl_0200_10310303_01,1,1,,,0,1,,
10310201,,10310201,1,2,1,2,tl_0200_10310201_01,1,1,,,0,1,,
10500101,,10500101,1,1,1,2,tl_0200_10500101_01,1,1,,,0,1,,
10500102,,10500102,1,1,1,2,tl_0200_10500102_01,1,1,,,0,1,,
10500103,,10500103,1,1,1,2,tl_0200_10500103_01,1,1,,,0,1,,
10500104,,10500104,1,1,1,2,tl_0200_10500104_01,1,1,,,0,1,,
10500105,,10500105,1,1,1,2,tl_0200_10500105_01,1,1,,,0,1,,
10500201,,10500201,1,2,1,2,tl_0200_10500201_01,1,1,,,0,1,,
10600101,,10600101,1,1,1,2,tl_0200_10600101_01,1,1,,,0,1,,
10600102,,10600102,1,1,1,2,tl_0200_10600102_01,1,1,,,0,1,,
10600103,,10600103,1,1,1,2,tl_0200_10600103_01,1,1,,,0,1,,
10600303,,,1,3,1,2,tl_0200_10600303_01,1,1,,,0,1,,
10600104,,10600104,1,1,1,2,tl_0200_10600104_01,1,1,,,0,1,,
10600105,,10600105,1,1,1,2,tl_0200_10600105_01,1,1,,,0,1,,
10600201,,10600201,1,2,2,2,tl_0200_10600201_01,1,1,,,0,2,,
12210101,,12210101,1,1,1,2,tl_0200_12210101_01,1,1,,,0,1,,
12210102,,12210102,1,1,1,2,tl_0200_12210102_01,1,1,,,0,1,,
12210103,,12210103,1,1,1,2,tl_0200_12210103_01,1,1,,,0,1,,
12210303,,,1,3,1,2,tl_0200_12210303_01,1,1,,,0,1,,
12210201,,12210201,1,2,1,2,tl_0200_12210201_01,1,1,,,0,1,,
