//this config file was auto-generated by Excel2lua tool do not modify it!
Id,LinkSkillID,SkillGrade,SkillCd,SkillCost,HurtRate,RecoverRate,DefIgnore,LogicId1,LogicId2,LogicId3,LogicId4,LogicId5,LogicId6,LogicId7,LogicId8,LogicId9,LogicId10,LogicId11,LogicId12,LogicId13,LogicId14
1,601101,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
2,1001,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
3,1002,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
4,1003,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
5,1004,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
6,1005,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
7,1006,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
8,1007,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
9,1008,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
10,2001,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
11,2002,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
12,2003,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
13,2004,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
14,3001,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
15,3002,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
16,3012,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
17,3003,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
18,3013,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
19,4001,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
20,4002,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
21,4003,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
22,4004,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
23,5001,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
24,5002,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
25,5003,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
26,5004,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
27,1330,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
28,1311,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
29,1310,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
30,1090,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
31,9010,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
32,9120,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
33,9030,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
34,9090,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
35,10010,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
36,10020,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
37,10130,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
38,10040,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
39,10050,1,3000,0,1,0,0,6011011,6011011,6011011,,,,,,,,,,,
40,10110101,1,12000,2,0.75,0,0,1010101,1010102,1010103,,,,,,,,,,,
41,10110102,1,600,2,0.5,0,0,1010201,,,,,,,,,,,,,
42,10110103,1,30000,3,1,0,0,1010301,1010302,,,,,,,,,,,,
43,10110303,1,0,0,1,0,0,1010304,1010305,,,,,,,,,,,,
44,10110201,1,20000,200,2.5,0,0,1010401,1010402,,,,,,,,,,,,
45,10210101,1,500,2,0.5,0,0,1020101,1020102,1020103,,,,,,,,,,,
46,10210102,1,35000,0,0.5,0,0,1020201,1020202,1020203,1020204,1020205,,,,,,,,,
47,10210302,1,0,0,0.5,0,0,1020207,1020208,1020209,,,,,,,,,,,
48,10210103,1,15000,4,1,0,0,1020301,1020302,1020303,1020304,1020305,1020306,1020307,1020308,,,,,,
49,10210603,1,0,0,1,0,0,1020601,,,,,,,,,,,,,
50,10210104,1,20000,7,1.75,0,0,1020401,,,,,,,,,,,,,
51,10210201,1,20000,200,1.5,0,0,1020501,1020502,,,,,,,,,,,,
52,10310101,1,3000,3,0.75,0,0,1030101,1030102,1030103,1030104,1030105,1030106,1030107,1030108,1030109,1030110,,,,
53,10310102,1,15000,5,2,0,0,1030201,1030202,1030203,1030204,1030205,1030206,1030207,1030208,1030209,1030210,1030211,1030212,1030213,1030214
54,10310103,1,30000,6,2.5,0,0,1030301,1030302,,,,,,,,,,,,
55,10310303,1,0,0,1,0,0,1030303,1030304,,,,,,,,,,,,
56,10310201,1,18000,200,5,0,0,1030401,1030402,1030403,1030404,1030405,,,,,,,,,
57,10500101,1,1,0,1,0,0,1050101,1050102,,,,,,,,,,,,
58,10500102,1,1,0,1,0,0,1050201,1050202,1050203,1050204,1050205,1050206,,,,,,,,
59,10500103,1,1,0,1,0,0,1050301,1050302,1050303,1050304,1050305,,,,,,,,,
60,10500104,1,1,0,1,0,0,1050401,1050402,,,,,,,,,,,,
61,10500105,1,1,0,1,0,0,1050501,1050502,1050503,1050504,,,,,,,,,,
62,10500201,1,18000,200,5,0,0,1050601,,,,,,,,,,,,,
63,10600101,1,1000,0,1,0,0,1060101,1060102,1060103,,,,,,,,,,,
64,10600102,1,1000,0,1,0,0,1060201,1060202,1060203,1060204,1060205,,,,,,,,,
65,10600103,1,1000,0,1,0,0,1060301,1060302,1060303,1060304,1060305,,,,,,,,,
66,10600303,1,0,0,1,0,0,1060306,,,,,,,,,,,,,
67,10600104,1,1000,0,1,0,0,1060401,1060402,,,,,,,,,,,,
